,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,3438,CENTRE_M,Rhodes College,1,54-57,"18,30,9","27,21,6",15-4,14-5,6-3,7-2,02/06/15,8:00 PM,N/A,"Alumni Gymnasium, Danville, Ky.",Win,3,True,522,False,19:51,,,,,"MISS 3PTR by GEEGAN,MIKE",,,"MISS 3PTR by GEEGAN,MIKE",1,three pointer,missed,centre_m,"geegan,mike",,"['sullivan,brennan', 'miller,drew', 'livsey,geoff', 'collins,luke', 'wagner,matt']","['scinta,blake', 'wesley,tyler', 'karsner,josh', 'geegan,mike', 'gump,matt']",1191
1,3438,CENTRE_M,Rhodes College,1,54-57,"18,30,9","27,21,6",15-4,14-5,6-3,7-2,02/06/15,8:00 PM,N/A,"Alumni Gymnasium, Danville, Ky.",Win,3,True,522,False,--,"REBOUND DEF by MILLER,DREW",,,,,,,"REBOUND DEF by MILLER,DREW",1,defensive rebound,,rhodes college,"miller,drew",,"['sullivan,brennan', 'miller,drew', 'livsey,geoff', 'collins,luke', 'wagner,matt']","['scinta,blake', 'wesley,tyler', 'karsner,josh', 'geegan,mike', 'gump,matt']",
2,3438,CENTRE_M,Rhodes College,1,54-57,"18,30,9","27,21,6",15-4,14-5,6-3,7-2,02/06/15,8:00 PM,N/A,"Alumni Gymnasium, Danville, Ky.",Win,3,True,522,False,19:22,"GOOD JUMPER by LIVSEY,GEOFF",2 ,,0,,RHODES 2-0 (+2),,"GOOD JUMPER by LIVSEY,GEOFF",1,jumper,good,rhodes college,"livsey,geoff",2,"['sullivan,brennan', 'miller,drew', 'livsey,geoff', 'collins,luke', 'wagner,matt']","['scinta,blake', 'wesley,tyler', 'karsner,josh', 'geegan,mike', 'gump,matt']",1162
3,3438,CENTRE_M,Rhodes College,1,54-57,"18,30,9","27,21,6",15-4,14-5,6-3,7-2,02/06/15,8:00 PM,N/A,"Alumni Gymnasium, Danville, Ky.",Win,3,True,522,False,19:00,,2 ,,0,"MISS LAYUP by GEEGAN,MIKE",,,"MISS LAYUP by GEEGAN,MIKE",1,layup,missed,centre_m,"geegan,mike",,"['sullivan,brennan', 'miller,drew', 'livsey,geoff', 'collins,luke', 'wagner,matt']","['scinta,blake', 'wesley,tyler', 'karsner,josh', 'geegan,mike', 'gump,matt']",1140
4,3438,CENTRE_M,Rhodes College,1,54-57,"18,30,9","27,21,6",15-4,14-5,6-3,7-2,02/06/15,8:00 PM,N/A,"Alumni Gymnasium, Danville, Ky.",Win,3,True,522,False,--,"REBOUND DEF by MILLER,DREW",2 ,,0,,,,"REBOUND DEF by MILLER,DREW",1,defensive rebound,,rhodes college,"miller,drew",,"['sullivan,brennan', 'miller,drew', 'livsey,geoff', 'collins,luke', 'wagner,matt']","['scinta,blake', 'wesley,tyler', 'karsner,josh', 'geegan,mike', 'gump,matt']",
5,3438,CENTRE_M,Rhodes College,1,54-57,"18,30,9","27,21,6",15-4,14-5,6-3,7-2,02/06/15,8:00 PM,N/A,"Alumni Gymnasium, Danville, Ky.",Win,3,True,522,False,18:40,"TURNOVER  by WAGNER,MATT",2 ,,0,,,,"TURNOVER  by WAGNER,MATT",1,turnover,,rhodes college,"wagner,matt",,"['sullivan,brennan', 'miller,drew', 'livsey,geoff', 'collins,luke', 'wagner,matt']","['scinta,blake', 'wesley,tyler', 'karsner,josh', 'geegan,mike', 'gump,matt']",1120
6,3438,CENTRE_M,Rhodes College,1,54-57,"18,30,9","27,21,6",15-4,14-5,6-3,7-2,02/06/15,8:00 PM,N/A,"Alumni Gymnasium, Danville, Ky.",Win,3,True,522,False,18:25,,2 ,,0,"TURNOVER  by GUMP,MATT",,,"TURNOVER  by GUMP,MATT",1,turnover,,centre_m,"gump,matt",,"['sullivan,brennan', 'miller,drew', 'livsey,geoff', 'collins,luke', 'wagner,matt']","['scinta,blake', 'wesley,tyler', 'karsner,josh', 'geegan,mike', 'gump,matt']",1105
7,3438,CENTRE_M,Rhodes College,1,54-57,"18,30,9","27,21,6",15-4,14-5,6-3,7-2,02/06/15,8:00 PM,N/A,"Alumni Gymnasium, Danville, Ky.",Win,3,True,522,False,18:23,"STEAL  by MILLER,DREW",2 ,,0,,,,"STEAL  by MILLER,DREW",1,steal,,rhodes college,,,"['sullivan,brennan', 'miller,drew', 'livsey,geoff', 'collins,luke', 'wagner,matt']","['scinta,blake', 'wesley,tyler', 'karsner,josh', 'geegan,mike', 'gump,matt']",1103
8,3438,CENTRE_M,Rhodes College,1,54-57,"18,30,9","27,21,6",15-4,14-5,6-3,7-2,02/06/15,8:00 PM,N/A,"Alumni Gymnasium, Danville, Ky.",Win,3,True,522,False,18:13,"MISS LAYUP by LIVSEY,GEOFF",2 ,,0,,,,"MISS LAYUP by LIVSEY,GEOFF",1,layup,missed,rhodes college,"livsey,geoff",,"['sullivan,brennan', 'miller,drew', 'livsey,geoff', 'collins,luke', 'wagner,matt']","['scinta,blake', 'wesley,tyler', 'karsner,josh', 'geegan,mike', 'gump,matt']",1093
9,3438,CENTRE_M,Rhodes College,1,54-57,"18,30,9","27,21,6",15-4,14-5,6-3,7-2,02/06/15,8:00 PM,N/A,"Alumni Gymnasium, Danville, Ky.",Win,3,True,522,False,--,,2 ,,0,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1,defensive rebound,,centre_m,"gump,matt",,"['sullivan,brennan', 'miller,drew', 'livsey,geoff', 'collins,luke', 'wagner,matt']","['scinta,blake', 'wesley,tyler', 'karsner,josh', 'geegan,mike', 'gump,matt']",
