,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,2397,Rhodes Men's Basketball,Oglethorpe,0,49-52,"22,30","21,28",14-8,15-7,9-2,7-4,02/10/13,3:00 PM,N/A,"Rhodes College, Mallory-Hyde Gymnasium",Win,2,False,204,False,19:44,,0,,3 ,"GOOD 3PTR by GALOW,ANDREW",RCMBB13 0-3 (+3),,"GOOD 3PTR by GALOW,ANDREW",1,three pointer,good,rhodes men's basketball,"galow,andrew",3,"['purdy,sam', 'molinet,christian', 'jovaag,branden', 'kinney,jordan', 'davis,alex']","['galow,andrew', 'hartwell,theo', 'miller,drew', 'mcgrail,patrick', 'livsey,geoff']",1184
1,2397,Rhodes Men's Basketball,Oglethorpe,0,49-52,"22,30","21,28",14-8,15-7,9-2,7-4,02/10/13,3:00 PM,N/A,"Rhodes College, Mallory-Hyde Gymnasium",Win,2,False,204,False,--,,0,,3 ,"ASSIST  by HARTWELL,THEO",,,"ASSIST  by HARTWELL,THEO",1,assist,,rhodes men's basketball,"hartwell,theo",,"['purdy,sam', 'molinet,christian', 'jovaag,branden', 'kinney,jordan', 'davis,alex']","['galow,andrew', 'hartwell,theo', 'miller,drew', 'mcgrail,patrick', 'livsey,geoff']",
2,2397,Rhodes Men's Basketball,Oglethorpe,0,49-52,"22,30","21,28",14-8,15-7,9-2,7-4,02/10/13,3:00 PM,N/A,"Rhodes College, Mallory-Hyde Gymnasium",Win,2,False,204,False,19:23,"TURNOVER  by JOVAAG,BRANDEN",0,,3 ,,,,"TURNOVER  by JOVAAG,BRANDEN",1,turnover,,oglethorpe,"jovaag,branden",,"['purdy,sam', 'molinet,christian', 'jovaag,branden', 'kinney,jordan', 'davis,alex']","['galow,andrew', 'hartwell,theo', 'miller,drew', 'mcgrail,patrick', 'livsey,geoff']",1163
3,2397,Rhodes Men's Basketball,Oglethorpe,0,49-52,"22,30","21,28",14-8,15-7,9-2,7-4,02/10/13,3:00 PM,N/A,"Rhodes College, Mallory-Hyde Gymnasium",Win,2,False,204,False,19:18,,0,,3 ,"TURNOVER  by LIVSEY,GEOFF",,,"TURNOVER  by LIVSEY,GEOFF",1,turnover,,rhodes men's basketball,"livsey,geoff",,"['purdy,sam', 'molinet,christian', 'jovaag,branden', 'kinney,jordan', 'davis,alex']","['galow,andrew', 'hartwell,theo', 'miller,drew', 'mcgrail,patrick', 'livsey,geoff']",1158
4,2397,Rhodes Men's Basketball,Oglethorpe,0,49-52,"22,30","21,28",14-8,15-7,9-2,7-4,02/10/13,3:00 PM,N/A,"Rhodes College, Mallory-Hyde Gymnasium",Win,2,False,204,False,19:17,"STEAL  by MOLINET,CHRISTIAN",0,,3 ,,,,"STEAL  by MOLINET,CHRISTIAN",1,steal,,oglethorpe,,,"['purdy,sam', 'molinet,christian', 'jovaag,branden', 'kinney,jordan', 'davis,alex']","['galow,andrew', 'hartwell,theo', 'miller,drew', 'mcgrail,patrick', 'livsey,geoff']",1157
5,2397,Rhodes Men's Basketball,Oglethorpe,0,49-52,"22,30","21,28",14-8,15-7,9-2,7-4,02/10/13,3:00 PM,N/A,"Rhodes College, Mallory-Hyde Gymnasium",Win,2,False,204,False,19:16,,0,,3 ,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1,foul,,rhodes men's basketball,"livsey,geoff",,"['purdy,sam', 'molinet,christian', 'jovaag,branden', 'kinney,jordan', 'davis,alex']","['galow,andrew', 'hartwell,theo', 'miller,drew', 'mcgrail,patrick', 'livsey,geoff']",1156
6,2397,Rhodes Men's Basketball,Oglethorpe,0,49-52,"22,30","21,28",14-8,15-7,9-2,7-4,02/10/13,3:00 PM,N/A,"Rhodes College, Mallory-Hyde Gymnasium",Win,2,False,204,False,19:04,"MISS JUMPER by KINNEY,JORDAN",0,,3 ,,,,"MISS JUMPER by KINNEY,JORDAN",1,jumper,missed,oglethorpe,"kinney,jordan",,"['purdy,sam', 'molinet,christian', 'jovaag,branden', 'kinney,jordan', 'davis,alex']","['galow,andrew', 'hartwell,theo', 'miller,drew', 'mcgrail,patrick', 'livsey,geoff']",1144
7,2397,Rhodes Men's Basketball,Oglethorpe,0,49-52,"22,30","21,28",14-8,15-7,9-2,7-4,02/10/13,3:00 PM,N/A,"Rhodes College, Mallory-Hyde Gymnasium",Win,2,False,204,False,--,,0,,3 ,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1,defensive rebound,,rhodes men's basketball,"livsey,geoff",,"['purdy,sam', 'molinet,christian', 'jovaag,branden', 'kinney,jordan', 'davis,alex']","['galow,andrew', 'hartwell,theo', 'miller,drew', 'mcgrail,patrick', 'livsey,geoff']",
8,2397,Rhodes Men's Basketball,Oglethorpe,0,49-52,"22,30","21,28",14-8,15-7,9-2,7-4,02/10/13,3:00 PM,N/A,"Rhodes College, Mallory-Hyde Gymnasium",Win,2,False,204,False,18:43,,0,,5 ,"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB13 0-5 (+5),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1,layup,good,rhodes men's basketball,"hartwell,theo",2,"['purdy,sam', 'molinet,christian', 'jovaag,branden', 'kinney,jordan', 'davis,alex']","['galow,andrew', 'hartwell,theo', 'miller,drew', 'mcgrail,patrick', 'livsey,geoff']",1123
9,2397,Rhodes Men's Basketball,Oglethorpe,0,49-52,"22,30","21,28",14-8,15-7,9-2,7-4,02/10/13,3:00 PM,N/A,"Rhodes College, Mallory-Hyde Gymnasium",Win,2,False,204,False,--,,0,,5 ,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",1,assist,,rhodes men's basketball,"galow,andrew",,"['purdy,sam', 'molinet,christian', 'jovaag,branden', 'kinney,jordan', 'davis,alex']","['galow,andrew', 'hartwell,theo', 'miller,drew', 'mcgrail,patrick', 'livsey,geoff']",
