,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,4433,Oglethorpe,Millsaps,1,72-47,"23,24","36,36",12-7,5-14,6-2,2-6,01/26/18,8 p.m.,N/A,"Dorough Field House - Atlanta, Ga.",Lose,2,False,526,False,19:55,,,,,"MISS JUMPER by PERRY,WILL",,,"MISS JUMPER by PERRY,WILL",1,jumper,missed,oglethorpe,"perry,will",,"['sullivan,michael', 'miller,joshua', 'becker,saxton', 'spikes,kalvin', 'blanz,buck']","['perry,will', 'lawrence,chris', 'foster,lane', 'smith,connor', 'koch,will']",1195
1,4433,Oglethorpe,Millsaps,1,72-47,"23,24","36,36",12-7,5-14,6-2,2-6,01/26/18,8 p.m.,N/A,"Dorough Field House - Atlanta, Ga.",Lose,2,False,526,False,--,"REBOUND DEF by SULLIVAN,MICHAEL",,,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",1,defensive rebound,,millsaps,"sullivan,michael",,"['sullivan,michael', 'miller,joshua', 'becker,saxton', 'spikes,kalvin', 'blanz,buck']","['perry,will', 'lawrence,chris', 'foster,lane', 'smith,connor', 'koch,will']",
2,4433,Oglethorpe,Millsaps,1,72-47,"23,24","36,36",12-7,5-14,6-2,2-6,01/26/18,8 p.m.,N/A,"Dorough Field House - Atlanta, Ga.",Lose,2,False,526,False,19:31,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",2 ,,0,,MILM 2-0 (+2),,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",1,layup,good,millsaps,"spikes,kalvin",2,"['sullivan,michael', 'miller,joshua', 'becker,saxton', 'spikes,kalvin', 'blanz,buck']","['perry,will', 'lawrence,chris', 'foster,lane', 'smith,connor', 'koch,will']",1171
3,4433,Oglethorpe,Millsaps,1,72-47,"23,24","36,36",12-7,5-14,6-2,2-6,01/26/18,8 p.m.,N/A,"Dorough Field House - Atlanta, Ga.",Lose,2,False,526,False,--,"ASSIST  by BLANZ,BUCK",2 ,,0,,,,"ASSIST  by BLANZ,BUCK",1,assist,,millsaps,"blanz,buck",,"['sullivan,michael', 'miller,joshua', 'becker,saxton', 'spikes,kalvin', 'blanz,buck']","['perry,will', 'lawrence,chris', 'foster,lane', 'smith,connor', 'koch,will']",
4,4433,Oglethorpe,Millsaps,1,72-47,"23,24","36,36",12-7,5-14,6-2,2-6,01/26/18,8 p.m.,N/A,"Dorough Field House - Atlanta, Ga.",Lose,2,False,526,False,19:13,,2 ,,0,"MISS 3PTR by LAWRENCE,CHRIS",,,"MISS 3PTR by LAWRENCE,CHRIS",1,three pointer,missed,oglethorpe,"lawrence,chris",,"['sullivan,michael', 'miller,joshua', 'becker,saxton', 'spikes,kalvin', 'blanz,buck']","['perry,will', 'lawrence,chris', 'foster,lane', 'smith,connor', 'koch,will']",1153
5,4433,Oglethorpe,Millsaps,1,72-47,"23,24","36,36",12-7,5-14,6-2,2-6,01/26/18,8 p.m.,N/A,"Dorough Field House - Atlanta, Ga.",Lose,2,False,526,False,--,"REBOUND DEF by MILLER,JOSHUA",2 ,,0,,,,"REBOUND DEF by MILLER,JOSHUA",1,defensive rebound,,millsaps,"miller,joshua",,"['sullivan,michael', 'miller,joshua', 'becker,saxton', 'spikes,kalvin', 'blanz,buck']","['perry,will', 'lawrence,chris', 'foster,lane', 'smith,connor', 'koch,will']",
6,4433,Oglethorpe,Millsaps,1,72-47,"23,24","36,36",12-7,5-14,6-2,2-6,01/26/18,8 p.m.,N/A,"Dorough Field House - Atlanta, Ga.",Lose,2,False,526,False,19:04,"GOOD LAYUP by MILLER,JOSHUA(fastbreak)(in the paint)",4 ,,0,,MILM 4-0 (+4),,"GOOD LAYUP by MILLER,JOSHUA(fastbreak)(in the paint)",1,layup,good,millsaps,"miller,joshua(fastbreak)",2,"['sullivan,michael', 'miller,joshua', 'becker,saxton', 'spikes,kalvin', 'blanz,buck']","['perry,will', 'lawrence,chris', 'foster,lane', 'smith,connor', 'koch,will']",1144
7,4433,Oglethorpe,Millsaps,1,72-47,"23,24","36,36",12-7,5-14,6-2,2-6,01/26/18,8 p.m.,N/A,"Dorough Field House - Atlanta, Ga.",Lose,2,False,526,False,18:43,,4 ,,0,"MISS LAYUP by PERRY,WILL",,,"MISS LAYUP by PERRY,WILL",1,layup,missed,oglethorpe,"perry,will",,"['sullivan,michael', 'miller,joshua', 'becker,saxton', 'spikes,kalvin', 'blanz,buck']","['perry,will', 'lawrence,chris', 'foster,lane', 'smith,connor', 'koch,will']",1123
8,4433,Oglethorpe,Millsaps,1,72-47,"23,24","36,36",12-7,5-14,6-2,2-6,01/26/18,8 p.m.,N/A,"Dorough Field House - Atlanta, Ga.",Lose,2,False,526,False,--,"REBOUND DEF by SULLIVAN,MICHAEL",4 ,,0,,,,"REBOUND DEF by SULLIVAN,MICHAEL",1,defensive rebound,,millsaps,"sullivan,michael",,"['sullivan,michael', 'miller,joshua', 'becker,saxton', 'spikes,kalvin', 'blanz,buck']","['perry,will', 'lawrence,chris', 'foster,lane', 'smith,connor', 'koch,will']",
9,4433,Oglethorpe,Millsaps,1,72-47,"23,24","36,36",12-7,5-14,6-2,2-6,01/26/18,8 p.m.,N/A,"Dorough Field House - Atlanta, Ga.",Lose,2,False,526,False,18:37,"SUB IN by OWENS,MATT",4 ,,0,,,,"SUB IN by OWENS,MATT",1,subbing in,,millsaps,"owens,matt",,"['sullivan,michael', 'miller,joshua', 'becker,saxton', 'spikes,kalvin', 'blanz,buck', 'owens,matt']","['perry,will', 'lawrence,chris', 'foster,lane', 'smith,connor', 'koch,will']",1117
