,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,4427,Sewanee,Millsaps,1,52-67,"35,32","24,28",5-6,3-10,2-0,0-2,01/05/18,8 p.m.,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Win,2,False,132,False,19:45,"MISS JUMPER by BLANZ,BUCK",,,,,,,"MISS JUMPER by BLANZ,BUCK",1,jumper,missed,millsaps,"blanz,buck",,"['sullivan,michael', 'kohnke,sam', 'blanz,buck', 'meads,tysin', 'turner,james']","['thomas,adrian', 'caldwell,cam', 'smith,luke', 'lee,matt', 'buescher,hunter']",1185
1,4427,Sewanee,Millsaps,1,52-67,"35,32","24,28",5-6,3-10,2-0,0-2,01/05/18,8 p.m.,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Win,2,False,132,False,--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",1,defensive rebound,,sewanee,"caldwell,cam",,"['sullivan,michael', 'kohnke,sam', 'blanz,buck', 'meads,tysin', 'turner,james']","['thomas,adrian', 'caldwell,cam', 'smith,luke', 'lee,matt', 'buescher,hunter']",
2,4427,Sewanee,Millsaps,1,52-67,"35,32","24,28",5-6,3-10,2-0,0-2,01/05/18,8 p.m.,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Win,2,False,132,False,19:39,,,,,"TURNOVER  by CALDWELL,CAM",,,"TURNOVER  by CALDWELL,CAM",1,turnover,,sewanee,"caldwell,cam",,"['sullivan,michael', 'kohnke,sam', 'blanz,buck', 'meads,tysin', 'turner,james']","['thomas,adrian', 'caldwell,cam', 'smith,luke', 'lee,matt', 'buescher,hunter']",1179
3,4427,Sewanee,Millsaps,1,52-67,"35,32","24,28",5-6,3-10,2-0,0-2,01/05/18,8 p.m.,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Win,2,False,132,False,19:37,"STEAL  by MEADS,TYSIN",,,,,,,"STEAL  by MEADS,TYSIN",1,steal,,millsaps,,,"['sullivan,michael', 'kohnke,sam', 'blanz,buck', 'meads,tysin', 'turner,james']","['thomas,adrian', 'caldwell,cam', 'smith,luke', 'lee,matt', 'buescher,hunter']",1177
4,4427,Sewanee,Millsaps,1,52-67,"35,32","24,28",5-6,3-10,2-0,0-2,01/05/18,8 p.m.,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Win,2,False,132,False,19:25,"MISS 3PTR by KOHNKE,SAM",,,,,,,"MISS 3PTR by KOHNKE,SAM",1,three pointer,missed,millsaps,"kohnke,sam",,"['sullivan,michael', 'kohnke,sam', 'blanz,buck', 'meads,tysin', 'turner,james']","['thomas,adrian', 'caldwell,cam', 'smith,luke', 'lee,matt', 'buescher,hunter']",1165
5,4427,Sewanee,Millsaps,1,52-67,"35,32","24,28",5-6,3-10,2-0,0-2,01/05/18,8 p.m.,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Win,2,False,132,False,--,"REBOUND OFF by TURNER,JAMES",,,,,,,"REBOUND OFF by TURNER,JAMES",1,offensive rebound,,millsaps,"turner,james",,"['sullivan,michael', 'kohnke,sam', 'blanz,buck', 'meads,tysin', 'turner,james']","['thomas,adrian', 'caldwell,cam', 'smith,luke', 'lee,matt', 'buescher,hunter']",
6,4427,Sewanee,Millsaps,1,52-67,"35,32","24,28",5-6,3-10,2-0,0-2,01/05/18,8 p.m.,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Win,2,False,132,False,19:17,"TURNOVER  by TURNER,JAMES",,,,,,,"TURNOVER  by TURNER,JAMES",1,turnover,,millsaps,"turner,james",,"['sullivan,michael', 'kohnke,sam', 'blanz,buck', 'meads,tysin', 'turner,james']","['thomas,adrian', 'caldwell,cam', 'smith,luke', 'lee,matt', 'buescher,hunter']",1157
7,4427,Sewanee,Millsaps,1,52-67,"35,32","24,28",5-6,3-10,2-0,0-2,01/05/18,8 p.m.,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Win,2,False,132,False,19:05,,0,,2 ,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",SEWANEE 0-2 (-2),,"GOOD JUMPER by THOMAS,ADRIAN(in the paint)",1,jumper,good,sewanee,"thomas,adrian",2,"['sullivan,michael', 'kohnke,sam', 'blanz,buck', 'meads,tysin', 'turner,james']","['thomas,adrian', 'caldwell,cam', 'smith,luke', 'lee,matt', 'buescher,hunter']",1145
8,4427,Sewanee,Millsaps,1,52-67,"35,32","24,28",5-6,3-10,2-0,0-2,01/05/18,8 p.m.,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Win,2,False,132,False,--,,0,,2 ,"ASSIST  by SMITH,LUKE",,,"ASSIST  by SMITH,LUKE",1,assist,,sewanee,"smith,luke",,"['sullivan,michael', 'kohnke,sam', 'blanz,buck', 'meads,tysin', 'turner,james']","['thomas,adrian', 'caldwell,cam', 'smith,luke', 'lee,matt', 'buescher,hunter']",
9,4427,Sewanee,Millsaps,1,52-67,"35,32","24,28",5-6,3-10,2-0,0-2,01/05/18,8 p.m.,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Win,2,False,132,False,18:47,"MISS LAYUP by SULLIVAN,MICHAEL",0,,2 ,,,,"MISS LAYUP by SULLIVAN,MICHAEL",1,layup,missed,millsaps,"sullivan,michael",,"['sullivan,michael', 'kohnke,sam', 'blanz,buck', 'meads,tysin', 'turner,james']","['thomas,adrian', 'caldwell,cam', 'smith,luke', 'lee,matt', 'buescher,hunter']",1127
