,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,809,Berry College,Birm.-Southern,1,87-86,"32,45,9","39,38,10",3-8,6-6,1-1,2-0,01/08/16,8 p.m.,,"Rome, Ga./ Cage Center",Lose,3,True,400,False,19:27,,0,,2,"GOOD JUMPER by SCHERRMAN,BLAKE",BCM 0-2 (+2),,"GOOD JUMPER by SCHERRMAN,BLAKE",1,jumper,good,berry college,"scherrman,blake",2.0,"['avery,alex', 'lewis,evan', 'thom,ian', 'welch,ross', 'deneka,harrison']","['scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee', 'spalding,tanner']",1167.0,birm.-southern,1,0,0.0
1,1,809,Berry College,Birm.-Southern,1,87-86,"32,45,9","39,38,10",3-8,6-6,1-1,2-0,01/08/16,8 p.m.,,"Rome, Ga./ Cage Center",Lose,3,True,400,False,19:09,"GOOD LAYUP by AVERY,ALEX(in the paint)",2,,2,,BSC 2-2 (0),,"GOOD LAYUP by AVERY,ALEX(in the paint)",1,layup,good,birm.-southern,"avery,alex",2.0,"['avery,alex', 'lewis,evan', 'thom,ian', 'welch,ross', 'deneka,harrison']","['scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee', 'spalding,tanner']",1149.0,birm.-southern,1,0,0.0
2,2,809,Berry College,Birm.-Southern,1,87-86,"32,45,9","39,38,10",3-8,6-6,1-1,2-0,01/08/16,8 p.m.,,"Rome, Ga./ Cage Center",Lose,3,True,400,False,--,"ASSIST  by THOM,IAN",2,,2,,,,"ASSIST  by THOM,IAN",1,assist,,birm.-southern,"thom,ian",,"['avery,alex', 'lewis,evan', 'thom,ian', 'welch,ross', 'deneka,harrison']","['scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee', 'spalding,tanner']",,birm.-southern,1,0,0.0
3,3,809,Berry College,Birm.-Southern,1,87-86,"32,45,9","39,38,10",3-8,6-6,1-1,2-0,01/08/16,8 p.m.,,"Rome, Ga./ Cage Center",Lose,3,True,400,False,18:56,,2,,2,"TURNOVER  by JOHNSON,CALEB",,,"TURNOVER  by JOHNSON,CALEB",1,turnover,,berry college,"johnson,caleb",,"['avery,alex', 'lewis,evan', 'thom,ian', 'welch,ross', 'deneka,harrison']","['scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee', 'spalding,tanner']",1136.0,birm.-southern,1,0,0.0
4,4,809,Berry College,Birm.-Southern,1,87-86,"32,45,9","39,38,10",3-8,6-6,1-1,2-0,01/08/16,8 p.m.,,"Rome, Ga./ Cage Center",Lose,3,True,400,False,18:54,"STEAL  by AVERY,ALEX",2,,2,,,,"STEAL  by AVERY,ALEX",1,steal,,birm.-southern,,,"['avery,alex', 'lewis,evan', 'thom,ian', 'welch,ross', 'deneka,harrison']","['scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee', 'spalding,tanner']",1134.0,birm.-southern,1,0,0.0
5,5,809,Berry College,Birm.-Southern,1,87-86,"32,45,9","39,38,10",3-8,6-6,1-1,2-0,01/08/16,8 p.m.,,"Rome, Ga./ Cage Center",Lose,3,True,400,False,18:42,"TURNOVER  by THOM,IAN",2,,2,,,,"TURNOVER  by THOM,IAN",1,turnover,,birm.-southern,"thom,ian",,"['avery,alex', 'lewis,evan', 'thom,ian', 'welch,ross', 'deneka,harrison']","['scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee', 'spalding,tanner']",1122.0,birm.-southern,1,0,0.0
6,6,809,Berry College,Birm.-Southern,1,87-86,"32,45,9","39,38,10",3-8,6-6,1-1,2-0,01/08/16,8 p.m.,,"Rome, Ga./ Cage Center",Lose,3,True,400,False,18:25,"FOUL  by LEWIS,EVAN",2,,2,,,,"FOUL  by LEWIS,EVAN",1,foul,,birm.-southern,"lewis,evan",,"['avery,alex', 'lewis,evan', 'thom,ian', 'welch,ross', 'deneka,harrison']","['scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee', 'spalding,tanner']",1105.0,berry college,2,0,0.0
7,7,809,Berry College,Birm.-Southern,1,87-86,"32,45,9","39,38,10",3-8,6-6,1-1,2-0,01/08/16,8 p.m.,,"Rome, Ga./ Cage Center",Lose,3,True,400,False,18:25,,2,,3,"GOOD FT by MCCLOUD,LEE",BCM 2-3 (+1),,"GOOD FT by MCCLOUD,LEE",1,free throw,good,berry college,"mccloud,lee",1.0,"['avery,alex', 'lewis,evan', 'thom,ian', 'welch,ross', 'deneka,harrison']","['scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee', 'spalding,tanner']",1105.0,berry college,2,0,0.0
8,8,809,Berry College,Birm.-Southern,1,87-86,"32,45,9","39,38,10",3-8,6-6,1-1,2-0,01/08/16,8 p.m.,,"Rome, Ga./ Cage Center",Lose,3,True,400,False,18:25,,2,,4,"GOOD FT by MCCLOUD,LEE",BCM 2-4 (+2),,"GOOD FT by MCCLOUD,LEE",1,free throw,good,berry college,"mccloud,lee",1.0,"['avery,alex', 'lewis,evan', 'thom,ian', 'welch,ross', 'deneka,harrison']","['scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee', 'spalding,tanner']",1105.0,berry college,2,0,0.0
9,9,809,Berry College,Birm.-Southern,1,87-86,"32,45,9","39,38,10",3-8,6-6,1-1,2-0,01/08/16,8 p.m.,,"Rome, Ga./ Cage Center",Lose,3,True,400,False,17:58,"MISS 3PTR by DENEKA,HARRISON",2,,4,,,,"MISS 3PTR by DENEKA,HARRISON",1,three pointer,missed,birm.-southern,"deneka,harrison",,"['avery,alex', 'lewis,evan', 'thom,ian', 'welch,ross', 'deneka,harrison']","['scherrman,blake', 'johnson,caleb', 'mccloud,alton', 'mccloud,lee', 'spalding,tanner']",1078.0,berry college,2,0,0.0
