,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,1050,Sewanee,Oglethorpe,1,78-62,"16,46","36,42",8-6,12-5,1-5,4-2,01/20/13,3:00 PM,N/A,"Sewanee, Tenn.",Lose,2,False,325,False,19:34,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1,jumper,missed,sewanee,"carter,keshonn",,"['kinney,jordan', 'jovaag,branden', 'molinet,christian', 'purdy,sam', 'davis,alex']","['carter,keshonn', 'hodge,nilan', 'brown,tyler', 'bouldin,brett', 'caldwell,marcellus']",1174
1,1050,Sewanee,Oglethorpe,1,78-62,"16,46","36,42",8-6,12-5,1-5,4-2,01/20/13,3:00 PM,N/A,"Sewanee, Tenn.",Lose,2,False,325,False,--,"REBOUND DEF by KINNEY,JORDAN",,,,,,,"REBOUND DEF by KINNEY,JORDAN",1,defensive rebound,,oglethorpe,"kinney,jordan",,"['kinney,jordan', 'jovaag,branden', 'molinet,christian', 'purdy,sam', 'davis,alex']","['carter,keshonn', 'hodge,nilan', 'brown,tyler', 'bouldin,brett', 'caldwell,marcellus']",
2,1050,Sewanee,Oglethorpe,1,78-62,"16,46","36,42",8-6,12-5,1-5,4-2,01/20/13,3:00 PM,N/A,"Sewanee, Tenn.",Lose,2,False,325,False,19:27,"GOOD 3PTR by JOVAAG,BRANDEN",3 ,,0,,OGLETHORPE 3-0 (-3),,"GOOD 3PTR by JOVAAG,BRANDEN",1,three pointer,good,oglethorpe,"jovaag,branden",3,"['kinney,jordan', 'jovaag,branden', 'molinet,christian', 'purdy,sam', 'davis,alex']","['carter,keshonn', 'hodge,nilan', 'brown,tyler', 'bouldin,brett', 'caldwell,marcellus']",1167
3,1050,Sewanee,Oglethorpe,1,78-62,"16,46","36,42",8-6,12-5,1-5,4-2,01/20/13,3:00 PM,N/A,"Sewanee, Tenn.",Lose,2,False,325,False,--,"ASSIST  by DAVIS,ALEX",3 ,,0,,,,"ASSIST  by DAVIS,ALEX",1,assist,,oglethorpe,"davis,alex",,"['kinney,jordan', 'jovaag,branden', 'molinet,christian', 'purdy,sam', 'davis,alex']","['carter,keshonn', 'hodge,nilan', 'brown,tyler', 'bouldin,brett', 'caldwell,marcellus']",
4,1050,Sewanee,Oglethorpe,1,78-62,"16,46","36,42",8-6,12-5,1-5,4-2,01/20/13,3:00 PM,N/A,"Sewanee, Tenn.",Lose,2,False,325,False,19:17,,3 ,,0,"TURNOVER  by BOULDIN,BRETT",,,"TURNOVER  by BOULDIN,BRETT",1,turnover,,sewanee,"bouldin,brett",,"['kinney,jordan', 'jovaag,branden', 'molinet,christian', 'purdy,sam', 'davis,alex']","['carter,keshonn', 'hodge,nilan', 'brown,tyler', 'bouldin,brett', 'caldwell,marcellus']",1157
5,1050,Sewanee,Oglethorpe,1,78-62,"16,46","36,42",8-6,12-5,1-5,4-2,01/20/13,3:00 PM,N/A,"Sewanee, Tenn.",Lose,2,False,325,False,19:16,"STEAL  by MOLINET,CHRISTIAN",3 ,,0,,,,"STEAL  by MOLINET,CHRISTIAN",1,steal,,oglethorpe,,,"['kinney,jordan', 'jovaag,branden', 'molinet,christian', 'purdy,sam', 'davis,alex']","['carter,keshonn', 'hodge,nilan', 'brown,tyler', 'bouldin,brett', 'caldwell,marcellus']",1156
6,1050,Sewanee,Oglethorpe,1,78-62,"16,46","36,42",8-6,12-5,1-5,4-2,01/20/13,3:00 PM,N/A,"Sewanee, Tenn.",Lose,2,False,325,False,19:13,"GOOD LAYUP by PURDY,SAM(in the paint)",5 ,,0,,OGLETHORPE 5-0 (-5),,"GOOD LAYUP by PURDY,SAM(in the paint)",1,layup,good,oglethorpe,"purdy,sam",2,"['kinney,jordan', 'jovaag,branden', 'molinet,christian', 'purdy,sam', 'davis,alex']","['carter,keshonn', 'hodge,nilan', 'brown,tyler', 'bouldin,brett', 'caldwell,marcellus']",1153
7,1050,Sewanee,Oglethorpe,1,78-62,"16,46","36,42",8-6,12-5,1-5,4-2,01/20/13,3:00 PM,N/A,"Sewanee, Tenn.",Lose,2,False,325,False,--,"ASSIST  by MOLINET,CHRISTIAN",5 ,,0,,,,"ASSIST  by MOLINET,CHRISTIAN",1,assist,,oglethorpe,"molinet,christian",,"['kinney,jordan', 'jovaag,branden', 'molinet,christian', 'purdy,sam', 'davis,alex']","['carter,keshonn', 'hodge,nilan', 'brown,tyler', 'bouldin,brett', 'caldwell,marcellus']",
8,1050,Sewanee,Oglethorpe,1,78-62,"16,46","36,42",8-6,12-5,1-5,4-2,01/20/13,3:00 PM,N/A,"Sewanee, Tenn.",Lose,2,False,325,False,18:47,,5 ,,0,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1,three pointer,missed,sewanee,"bouldin,brett",,"['kinney,jordan', 'jovaag,branden', 'molinet,christian', 'purdy,sam', 'davis,alex']","['carter,keshonn', 'hodge,nilan', 'brown,tyler', 'bouldin,brett', 'caldwell,marcellus']",1127
9,1050,Sewanee,Oglethorpe,1,78-62,"16,46","36,42",8-6,12-5,1-5,4-2,01/20/13,3:00 PM,N/A,"Sewanee, Tenn.",Lose,2,False,325,False,--,"REBOUND DEF by KINNEY,JORDAN",5 ,,0,,,,"REBOUND DEF by KINNEY,JORDAN",1,defensive rebound,,oglethorpe,"kinney,jordan",,"['kinney,jordan', 'jovaag,branden', 'molinet,christian', 'purdy,sam', 'davis,alex']","['carter,keshonn', 'hodge,nilan', 'brown,tyler', 'bouldin,brett', 'caldwell,marcellus']",
