,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,1134,Birmingham-Southern,Sewanee,1,73-74,"31,43","37,36",11-6,11-6,6-0,4-2,01/24/16,3:00 PM,N/A,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,855,False,19:47,"GOOD LAYUP by JONES,CODY(in the paint)",2 ,,0,,SEWANEE 2-0 (+2),,"GOOD LAYUP by JONES,CODY(in the paint)",1,layup,good,sewanee,"jones,cody",2,"['carter,keshonn', 'born,clay', 'stone,brody', 'jones,cody', 'mccullough,jacob']","['avery,alex', 'deneka,harrison', 'thom,ian', 'lewis,evan', 'welch,ross']",1187
1,1134,Birmingham-Southern,Sewanee,1,73-74,"31,43","37,36",11-6,11-6,6-0,4-2,01/24/16,3:00 PM,N/A,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,855,False,19:29,,2,,2,"GOOD LAYUP by AVERY,ALEX(in the paint)",BSC 2-2 (0),,"GOOD LAYUP by AVERY,ALEX(in the paint)",1,layup,good,birmingham-southern,"avery,alex",2,"['carter,keshonn', 'born,clay', 'stone,brody', 'jones,cody', 'mccullough,jacob']","['avery,alex', 'deneka,harrison', 'thom,ian', 'lewis,evan', 'welch,ross']",1169
2,1134,Birmingham-Southern,Sewanee,1,73-74,"31,43","37,36",11-6,11-6,6-0,4-2,01/24/16,3:00 PM,N/A,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,855,False,--,,2,,2,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",1,assist,,birmingham-southern,"thom,ian",,"['carter,keshonn', 'born,clay', 'stone,brody', 'jones,cody', 'mccullough,jacob']","['avery,alex', 'deneka,harrison', 'thom,ian', 'lewis,evan', 'welch,ross']",
3,1134,Birmingham-Southern,Sewanee,1,73-74,"31,43","37,36",11-6,11-6,6-0,4-2,01/24/16,3:00 PM,N/A,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,855,False,19:19,"TURNOVER  by MCCULLOUGH,JACOB",2,,2,,,,"TURNOVER  by MCCULLOUGH,JACOB",1,turnover,,sewanee,"mccullough,jacob",,"['carter,keshonn', 'born,clay', 'stone,brody', 'jones,cody', 'mccullough,jacob']","['avery,alex', 'deneka,harrison', 'thom,ian', 'lewis,evan', 'welch,ross']",1159
4,1134,Birmingham-Southern,Sewanee,1,73-74,"31,43","37,36",11-6,11-6,6-0,4-2,01/24/16,3:00 PM,N/A,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,855,False,19:18,,2,,2,"STEAL  by DENEKA,HARRISON",,,"STEAL  by DENEKA,HARRISON",1,steal,,birmingham-southern,,,"['carter,keshonn', 'born,clay', 'stone,brody', 'jones,cody', 'mccullough,jacob']","['avery,alex', 'deneka,harrison', 'thom,ian', 'lewis,evan', 'welch,ross']",1158
5,1134,Birmingham-Southern,Sewanee,1,73-74,"31,43","37,36",11-6,11-6,6-0,4-2,01/24/16,3:00 PM,N/A,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,855,False,19:17,,2,,2,"MISS LAYUP by DENEKA,HARRISON",,,"MISS LAYUP by DENEKA,HARRISON",1,layup,missed,birmingham-southern,"deneka,harrison",,"['carter,keshonn', 'born,clay', 'stone,brody', 'jones,cody', 'mccullough,jacob']","['avery,alex', 'deneka,harrison', 'thom,ian', 'lewis,evan', 'welch,ross']",1157
6,1134,Birmingham-Southern,Sewanee,1,73-74,"31,43","37,36",11-6,11-6,6-0,4-2,01/24/16,3:00 PM,N/A,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,855,False,--,,2,,2,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",1,offensive rebound,,birmingham-southern,"deneka,harrison",,"['carter,keshonn', 'born,clay', 'stone,brody', 'jones,cody', 'mccullough,jacob']","['avery,alex', 'deneka,harrison', 'thom,ian', 'lewis,evan', 'welch,ross']",
7,1134,Birmingham-Southern,Sewanee,1,73-74,"31,43","37,36",11-6,11-6,6-0,4-2,01/24/16,3:00 PM,N/A,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,855,False,19:15,,2,,4 ,"GOOD TIPIN by DENEKA,HARRISON(in the paint)",BSC 2-4 (-2),,"GOOD TIPIN by DENEKA,HARRISON(in the paint)",1,tipin,good,birmingham-southern,"deneka,harrison",2,"['carter,keshonn', 'born,clay', 'stone,brody', 'jones,cody', 'mccullough,jacob']","['avery,alex', 'deneka,harrison', 'thom,ian', 'lewis,evan', 'welch,ross']",1155
8,1134,Birmingham-Southern,Sewanee,1,73-74,"31,43","37,36",11-6,11-6,6-0,4-2,01/24/16,3:00 PM,N/A,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,855,False,18:48,"GOOD JUMPER by CARTER,KESHONN(in the paint)",4,,4,,SEWANEE 4-4 (0),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",1,jumper,good,sewanee,"carter,keshonn",2,"['carter,keshonn', 'born,clay', 'stone,brody', 'jones,cody', 'mccullough,jacob']","['avery,alex', 'deneka,harrison', 'thom,ian', 'lewis,evan', 'welch,ross']",1128
9,1134,Birmingham-Southern,Sewanee,1,73-74,"31,43","37,36",11-6,11-6,6-0,4-2,01/24/16,3:00 PM,N/A,"Birmingham, Ala. (Bill Battle Coliseum)",Win,2,False,855,False,18:23,,4,,4,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",1,three pointer,missed,birmingham-southern,"deneka,harrison",,"['carter,keshonn', 'born,clay', 'stone,brody', 'jones,cody', 'mccullough,jacob']","['avery,alex', 'deneka,harrison', 'thom,ian', 'lewis,evan', 'welch,ross']",1103
