,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,0734,Centre,Miami-Middletown,0,48-73,"23,50","25,23",6-2,12-4,N/A,N/A,12/28/12,5 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Win,2,False,223,False,19:40,"MISS 3PTR by WOODS,JEFF",,,,,,,"MISS 3PTR by WOODS,JEFF",1,three pointer,missed,miami-middletown,"woods,jeff",,"['zukowitz,max', 'antonio,ferrell', 'martin,dewayne', 'woods,jeff', 'martinez,zach']","['karsner,josh', 'whiteside,donovan', 'wesley,tyler', 'taylor,chris', 'ellis,bryon']",1180
1,0734,Centre,Miami-Middletown,0,48-73,"23,50","25,23",6-2,12-4,N/A,N/A,12/28/12,5 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Win,2,False,223,False,--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1,defensive rebound,,centre,"whiteside,donovan",,"['zukowitz,max', 'antonio,ferrell', 'martin,dewayne', 'woods,jeff', 'martinez,zach']","['karsner,josh', 'whiteside,donovan', 'wesley,tyler', 'taylor,chris', 'ellis,bryon']",
2,0734,Centre,Miami-Middletown,0,48-73,"23,50","25,23",6-2,12-4,N/A,N/A,12/28/12,5 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Win,2,False,223,False,19:22,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",1,three pointer,missed,centre,"ellis,bryon",,"['zukowitz,max', 'antonio,ferrell', 'martin,dewayne', 'woods,jeff', 'martinez,zach']","['karsner,josh', 'whiteside,donovan', 'wesley,tyler', 'taylor,chris', 'ellis,bryon']",1162
3,0734,Centre,Miami-Middletown,0,48-73,"23,50","25,23",6-2,12-4,N/A,N/A,12/28/12,5 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Win,2,False,223,False,--,"REBOUND DEF by WOODS,JEFF",,,,,,,"REBOUND DEF by WOODS,JEFF",1,defensive rebound,,miami-middletown,"woods,jeff",,"['zukowitz,max', 'antonio,ferrell', 'martin,dewayne', 'woods,jeff', 'martinez,zach']","['karsner,josh', 'whiteside,donovan', 'wesley,tyler', 'taylor,chris', 'ellis,bryon']",
4,0734,Centre,Miami-Middletown,0,48-73,"23,50","25,23",6-2,12-4,N/A,N/A,12/28/12,5 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Win,2,False,223,False,19:18,,,,,"FOUL  by WHITESIDE,DONOVAN",,,"FOUL  by WHITESIDE,DONOVAN",1,foul,,centre,"whiteside,donovan",,"['zukowitz,max', 'antonio,ferrell', 'martin,dewayne', 'woods,jeff', 'martinez,zach']","['karsner,josh', 'whiteside,donovan', 'wesley,tyler', 'taylor,chris', 'ellis,bryon']",1158
5,0734,Centre,Miami-Middletown,0,48-73,"23,50","25,23",6-2,12-4,N/A,N/A,12/28/12,5 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Win,2,False,223,False,18:49,"MISS 3PTR by ANTONIO FERRELL,JR",,,,,,,"MISS 3PTR by ANTONIO FERRELL,JR",1,three pointer,missed,miami-middletown,"antonio ferrell,jr",,"['zukowitz,max', 'antonio,ferrell', 'martin,dewayne', 'woods,jeff', 'martinez,zach']","['karsner,josh', 'whiteside,donovan', 'wesley,tyler', 'taylor,chris', 'ellis,bryon']",1129
6,0734,Centre,Miami-Middletown,0,48-73,"23,50","25,23",6-2,12-4,N/A,N/A,12/28/12,5 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Win,2,False,223,False,--,"REBOUND OFF by ANTONIO FERRELL,JR",,,,,,,"REBOUND OFF by ANTONIO FERRELL,JR",1,offensive rebound,,miami-middletown,"antonio ferrell,jr",,"['zukowitz,max', 'antonio,ferrell', 'martin,dewayne', 'woods,jeff', 'martinez,zach']","['karsner,josh', 'whiteside,donovan', 'wesley,tyler', 'taylor,chris', 'ellis,bryon']",
7,0734,Centre,Miami-Middletown,0,48-73,"23,50","25,23",6-2,12-4,N/A,N/A,12/28/12,5 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Win,2,False,223,False,18:35,"GOOD JUMPER by ANTONIO FERRELL,JR(in the paint)",2 ,,0,,MUM 2-0 (-2),,"GOOD JUMPER by ANTONIO FERRELL,JR(in the paint)",1,jumper,good,miami-middletown,"antonio ferrell,jr",2,"['zukowitz,max', 'antonio,ferrell', 'martin,dewayne', 'woods,jeff', 'martinez,zach']","['karsner,josh', 'whiteside,donovan', 'wesley,tyler', 'taylor,chris', 'ellis,bryon']",1115
8,0734,Centre,Miami-Middletown,0,48-73,"23,50","25,23",6-2,12-4,N/A,N/A,12/28/12,5 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Win,2,False,223,False,--,"ASSIST  by WOODS,JEFF",2 ,,0,,,,"ASSIST  by WOODS,JEFF",1,assist,,miami-middletown,"woods,jeff",,"['zukowitz,max', 'antonio,ferrell', 'martin,dewayne', 'woods,jeff', 'martinez,zach']","['karsner,josh', 'whiteside,donovan', 'wesley,tyler', 'taylor,chris', 'ellis,bryon']",
9,0734,Centre,Miami-Middletown,0,48-73,"23,50","25,23",6-2,12-4,N/A,N/A,12/28/12,5 p.m.,N/A,"Crestview Hills, Ky. - Connor Center",Win,2,False,223,False,18:11,,2 ,,0,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",1,turnover,,centre,"wesley,tyler",,"['zukowitz,max', 'antonio,ferrell', 'martin,dewayne', 'woods,jeff', 'martinez,zach']","['karsner,josh', 'whiteside,donovan', 'wesley,tyler', 'taylor,chris', 'ellis,bryon']",1091
