,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,0851,Millsaps,Birmingham Southern,1,64-52,"25,27","32,32",8-12 (3-9 SCAC,19-1 (10-0 SCAC,N/A,N/A,02/03/12,8:00 p.m.,N/A,"The Hangar Dome/Jackson, Miss.",Lose,2,False,351,False,19:28,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",1,jumper,missed,millsaps,"berger,ryan",,"['richards,zac', 'kegarise,kevin', 'white,blaise', 'henry,colin', 'jonus,jasen']","['meades,taylor', 'cortese,nick', 'berger,ryan', 'merkel,brian', 'kinnear,kyle']",1168
1,0851,Millsaps,Birmingham Southern,1,64-52,"25,27","32,32",8-12 (3-9 SCAC,19-1 (10-0 SCAC,N/A,N/A,02/03/12,8:00 p.m.,N/A,"The Hangar Dome/Jackson, Miss.",Lose,2,False,351,False,--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1,defensive rebound,,birmingham southern,"richards,zac",,"['richards,zac', 'kegarise,kevin', 'white,blaise', 'henry,colin', 'jonus,jasen']","['meades,taylor', 'cortese,nick', 'berger,ryan', 'merkel,brian', 'kinnear,kyle']",
2,0851,Millsaps,Birmingham Southern,1,64-52,"25,27","32,32",8-12 (3-9 SCAC,19-1 (10-0 SCAC,N/A,N/A,02/03/12,8:00 p.m.,N/A,"The Hangar Dome/Jackson, Miss.",Lose,2,False,351,False,19:04,"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",2 ,,0,,BSC 2-0 (-2),,"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",1,layup,good,birmingham southern,"kegarise,kevin",2,"['richards,zac', 'kegarise,kevin', 'white,blaise', 'henry,colin', 'jonus,jasen']","['meades,taylor', 'cortese,nick', 'berger,ryan', 'merkel,brian', 'kinnear,kyle']",1144
3,0851,Millsaps,Birmingham Southern,1,64-52,"25,27","32,32",8-12 (3-9 SCAC,19-1 (10-0 SCAC,N/A,N/A,02/03/12,8:00 p.m.,N/A,"The Hangar Dome/Jackson, Miss.",Lose,2,False,351,False,--,"ASSIST  by RICHARDS,ZAC",2 ,,0,,,,"ASSIST  by RICHARDS,ZAC",1,assist,,birmingham southern,"richards,zac",,"['richards,zac', 'kegarise,kevin', 'white,blaise', 'henry,colin', 'jonus,jasen']","['meades,taylor', 'cortese,nick', 'berger,ryan', 'merkel,brian', 'kinnear,kyle']",
4,0851,Millsaps,Birmingham Southern,1,64-52,"25,27","32,32",8-12 (3-9 SCAC,19-1 (10-0 SCAC,N/A,N/A,02/03/12,8:00 p.m.,N/A,"The Hangar Dome/Jackson, Miss.",Lose,2,False,351,False,18:31,,2,,2,"GOOD JUMPER by KINNEAR,KYLE",MSPS 2-2 (0),,"GOOD JUMPER by KINNEAR,KYLE",1,jumper,good,millsaps,"kinnear,kyle",2,"['richards,zac', 'kegarise,kevin', 'white,blaise', 'henry,colin', 'jonus,jasen']","['meades,taylor', 'cortese,nick', 'berger,ryan', 'merkel,brian', 'kinnear,kyle']",1111
5,0851,Millsaps,Birmingham Southern,1,64-52,"25,27","32,32",8-12 (3-9 SCAC,19-1 (10-0 SCAC,N/A,N/A,02/03/12,8:00 p.m.,N/A,"The Hangar Dome/Jackson, Miss.",Lose,2,False,351,False,--,,2,,2,"ASSIST  by MERKEL,BRIAN",,,"ASSIST  by MERKEL,BRIAN",1,assist,,millsaps,"merkel,brian",,"['richards,zac', 'kegarise,kevin', 'white,blaise', 'henry,colin', 'jonus,jasen']","['meades,taylor', 'cortese,nick', 'berger,ryan', 'merkel,brian', 'kinnear,kyle']",
6,0851,Millsaps,Birmingham Southern,1,64-52,"25,27","32,32",8-12 (3-9 SCAC,19-1 (10-0 SCAC,N/A,N/A,02/03/12,8:00 p.m.,N/A,"The Hangar Dome/Jackson, Miss.",Lose,2,False,351,False,18:18,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",4 ,,2,,BSC 4-2 (-2),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1,layup,good,birmingham southern,"richards,zac",2,"['richards,zac', 'kegarise,kevin', 'white,blaise', 'henry,colin', 'jonus,jasen']","['meades,taylor', 'cortese,nick', 'berger,ryan', 'merkel,brian', 'kinnear,kyle']",1098
7,0851,Millsaps,Birmingham Southern,1,64-52,"25,27","32,32",8-12 (3-9 SCAC,19-1 (10-0 SCAC,N/A,N/A,02/03/12,8:00 p.m.,N/A,"The Hangar Dome/Jackson, Miss.",Lose,2,False,351,False,--,"ASSIST  by JONUS,JASEN",4 ,,2,,,,"ASSIST  by JONUS,JASEN",1,assist,,birmingham southern,"jonus,jasen",,"['richards,zac', 'kegarise,kevin', 'white,blaise', 'henry,colin', 'jonus,jasen']","['meades,taylor', 'cortese,nick', 'berger,ryan', 'merkel,brian', 'kinnear,kyle']",
8,0851,Millsaps,Birmingham Southern,1,64-52,"25,27","32,32",8-12 (3-9 SCAC,19-1 (10-0 SCAC,N/A,N/A,02/03/12,8:00 p.m.,N/A,"The Hangar Dome/Jackson, Miss.",Lose,2,False,351,False,18:06,,4 ,,2,"MISS LAYUP by MERKEL,BRIAN",,,"MISS LAYUP by MERKEL,BRIAN",1,layup,missed,millsaps,"merkel,brian",,"['richards,zac', 'kegarise,kevin', 'white,blaise', 'henry,colin', 'jonus,jasen']","['meades,taylor', 'cortese,nick', 'berger,ryan', 'merkel,brian', 'kinnear,kyle']",1086
9,0851,Millsaps,Birmingham Southern,1,64-52,"25,27","32,32",8-12 (3-9 SCAC,19-1 (10-0 SCAC,N/A,N/A,02/03/12,8:00 p.m.,N/A,"The Hangar Dome/Jackson, Miss.",Lose,2,False,351,False,--,,4 ,,2,"REBOUND OFF by BERGER,RYAN",,,"REBOUND OFF by BERGER,RYAN",1,offensive rebound,,millsaps,"berger,ryan",,"['richards,zac', 'kegarise,kevin', 'white,blaise', 'henry,colin', 'jonus,jasen']","['meades,taylor', 'cortese,nick', 'berger,ryan', 'merkel,brian', 'kinnear,kyle']",
