,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,4721,Centre,Millsaps,0,57-68,"37,31","30,27",16-3 (7-1 SAA,10-9 (2-6 SAA,N/A,N/A,01/25/19,8:10 PM,N/A,"Danville, KY (Alumni Gymnasium)",Win,2,False,728,False,19:44,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",1,foul,,centre,"bates,jacob",,"['becker,saxton', 'blanz,buck', 'mclaurin,ryan', 'carvelli,cameron', 'tullos,zachary']","['ayers,perry', 'walker,art', 'sine,tucker', 'rakes,bailey', 'bates,jacob']",1184
1,4721,Centre,Millsaps,0,57-68,"37,31","30,27",16-3 (7-1 SAA,10-9 (2-6 SAA,N/A,N/A,01/25/19,8:10 PM,N/A,"Danville, KY (Alumni Gymnasium)",Win,2,False,728,False,19:44,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",1,turnover,,centre,"bates,jacob",,"['becker,saxton', 'blanz,buck', 'mclaurin,ryan', 'carvelli,cameron', 'tullos,zachary']","['ayers,perry', 'walker,art', 'sine,tucker', 'rakes,bailey', 'bates,jacob']",1184
2,4721,Centre,Millsaps,0,57-68,"37,31","30,27",16-3 (7-1 SAA,10-9 (2-6 SAA,N/A,N/A,01/25/19,8:10 PM,N/A,"Danville, KY (Alumni Gymnasium)",Win,2,False,728,False,19:25,"MISS LAYUP by CARVELLI,CAMERON",,,,,,,"MISS LAYUP by CARVELLI,CAMERON",1,layup,missed,millsaps,"carvelli,cameron",,"['becker,saxton', 'blanz,buck', 'mclaurin,ryan', 'carvelli,cameron', 'tullos,zachary']","['ayers,perry', 'walker,art', 'sine,tucker', 'rakes,bailey', 'bates,jacob']",1165
3,4721,Centre,Millsaps,0,57-68,"37,31","30,27",16-3 (7-1 SAA,10-9 (2-6 SAA,N/A,N/A,01/25/19,8:10 PM,N/A,"Danville, KY (Alumni Gymnasium)",Win,2,False,728,False,--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",1,defensive rebound,,centre,"rakes,bailey",,"['becker,saxton', 'blanz,buck', 'mclaurin,ryan', 'carvelli,cameron', 'tullos,zachary']","['ayers,perry', 'walker,art', 'sine,tucker', 'rakes,bailey', 'bates,jacob']",
4,4721,Centre,Millsaps,0,57-68,"37,31","30,27",16-3 (7-1 SAA,10-9 (2-6 SAA,N/A,N/A,01/25/19,8:10 PM,N/A,"Danville, KY (Alumni Gymnasium)",Win,2,False,728,False,19:12,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1,three pointer,missed,centre,"walker,art",,"['becker,saxton', 'blanz,buck', 'mclaurin,ryan', 'carvelli,cameron', 'tullos,zachary']","['ayers,perry', 'walker,art', 'sine,tucker', 'rakes,bailey', 'bates,jacob']",1152
5,4721,Centre,Millsaps,0,57-68,"37,31","30,27",16-3 (7-1 SAA,10-9 (2-6 SAA,N/A,N/A,01/25/19,8:10 PM,N/A,"Danville, KY (Alumni Gymnasium)",Win,2,False,728,False,--,,,,,"REBOUND OFF by BATES,JACOB",,,"REBOUND OFF by BATES,JACOB",1,offensive rebound,,centre,"bates,jacob",,"['becker,saxton', 'blanz,buck', 'mclaurin,ryan', 'carvelli,cameron', 'tullos,zachary']","['ayers,perry', 'walker,art', 'sine,tucker', 'rakes,bailey', 'bates,jacob']",
6,4721,Centre,Millsaps,0,57-68,"37,31","30,27",16-3 (7-1 SAA,10-9 (2-6 SAA,N/A,N/A,01/25/19,8:10 PM,N/A,"Danville, KY (Alumni Gymnasium)",Win,2,False,728,False,19:00,,0,,2 ,"GOOD LAYUP by RAKES,BAILEY(in the paint)",CENTRE-M 0-2 (-2),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",1,layup,good,centre,"rakes,bailey",2,"['becker,saxton', 'blanz,buck', 'mclaurin,ryan', 'carvelli,cameron', 'tullos,zachary']","['ayers,perry', 'walker,art', 'sine,tucker', 'rakes,bailey', 'bates,jacob']",1140
7,4721,Centre,Millsaps,0,57-68,"37,31","30,27",16-3 (7-1 SAA,10-9 (2-6 SAA,N/A,N/A,01/25/19,8:10 PM,N/A,"Danville, KY (Alumni Gymnasium)",Win,2,False,728,False,18:27,"GOOD JUMPER by TULLOS,ZACHARY(in the paint)",2,,2,,MIL 2-2 (0),,"GOOD JUMPER by TULLOS,ZACHARY(in the paint)",1,jumper,good,millsaps,"tullos,zachary",2,"['becker,saxton', 'blanz,buck', 'mclaurin,ryan', 'carvelli,cameron', 'tullos,zachary']","['ayers,perry', 'walker,art', 'sine,tucker', 'rakes,bailey', 'bates,jacob']",1107
8,4721,Centre,Millsaps,0,57-68,"37,31","30,27",16-3 (7-1 SAA,10-9 (2-6 SAA,N/A,N/A,01/25/19,8:10 PM,N/A,"Danville, KY (Alumni Gymnasium)",Win,2,False,728,False,17:57,,2,,2,"MISS JUMPER by BATES,JACOB",,,"MISS JUMPER by BATES,JACOB",1,jumper,missed,centre,"bates,jacob",,"['becker,saxton', 'blanz,buck', 'mclaurin,ryan', 'carvelli,cameron', 'tullos,zachary']","['ayers,perry', 'walker,art', 'sine,tucker', 'rakes,bailey', 'bates,jacob']",1077
9,4721,Centre,Millsaps,0,57-68,"37,31","30,27",16-3 (7-1 SAA,10-9 (2-6 SAA,N/A,N/A,01/25/19,8:10 PM,N/A,"Danville, KY (Alumni Gymnasium)",Win,2,False,728,False,--,"REBOUND DEF by CARVELLI,CAMERON",2,,2,,,,"REBOUND DEF by CARVELLI,CAMERON",1,defensive rebound,,millsaps,"carvelli,cameron",,"['becker,saxton', 'blanz,buck', 'mclaurin,ryan', 'carvelli,cameron', 'tullos,zachary']","['ayers,perry', 'walker,art', 'sine,tucker', 'rakes,bailey', 'bates,jacob']",
