,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,5919,Occidental,Rhodes,0,66-91,"44,47","28,38",3-0,2-3,N/A,N/A,11/21/18,7:00 PM,N/A,Rush Gymnasium,Win,2,False,N/A,False,19:41,,0,,3 ,"GOOD 3PTR by YELLIN-FLAHERTY,CALE",OCCIDENT 0-3 (-3),,"GOOD 3PTR by YELLIN-FLAHERTY,CALE",1,three pointer,good,occidental,"yellin-flaherty,cale",3,"['darst,daniel', 'weatherford,mitch', 'giroux,preston', 'berry,bryce', 'james,mac']","['yellin-flaherty,caleb', 'crosthwaite,jonny', 'baines,zach', 'dewitz,austin', 'kaneshiro,ryan']",1181
1,5919,Occidental,Rhodes,0,66-91,"44,47","28,38",3-0,2-3,N/A,N/A,11/21/18,7:00 PM,N/A,Rush Gymnasium,Win,2,False,N/A,False,--,,0,,3 ,"ASSIST  by KANESHIRO,RYAN",,,"ASSIST  by KANESHIRO,RYAN",1,assist,,occidental,"kaneshiro,ryan",,"['darst,daniel', 'weatherford,mitch', 'giroux,preston', 'berry,bryce', 'james,mac']","['yellin-flaherty,caleb', 'crosthwaite,jonny', 'baines,zach', 'dewitz,austin', 'kaneshiro,ryan']",
2,5919,Occidental,Rhodes,0,66-91,"44,47","28,38",3-0,2-3,N/A,N/A,11/21/18,7:00 PM,N/A,Rush Gymnasium,Win,2,False,N/A,False,19:24,"GOOD JUMPER by DARST,DANIEL(in the paint)",2,,3 ,,RHODES 2-3 (-1),,"GOOD JUMPER by DARST,DANIEL(in the paint)",1,jumper,good,rhodes,"darst,daniel",2,"['darst,daniel', 'weatherford,mitch', 'giroux,preston', 'berry,bryce', 'james,mac']","['yellin-flaherty,caleb', 'crosthwaite,jonny', 'baines,zach', 'dewitz,austin', 'kaneshiro,ryan']",1164
3,5919,Occidental,Rhodes,0,66-91,"44,47","28,38",3-0,2-3,N/A,N/A,11/21/18,7:00 PM,N/A,Rush Gymnasium,Win,2,False,N/A,False,19:05,,2,,3 ,"MISS JUMPER by DEWITZ,AUSTIN",,,"MISS JUMPER by DEWITZ,AUSTIN",1,jumper,missed,occidental,"dewitz,austin",,"['darst,daniel', 'weatherford,mitch', 'giroux,preston', 'berry,bryce', 'james,mac']","['yellin-flaherty,caleb', 'crosthwaite,jonny', 'baines,zach', 'dewitz,austin', 'kaneshiro,ryan']",1145
4,5919,Occidental,Rhodes,0,66-91,"44,47","28,38",3-0,2-3,N/A,N/A,11/21/18,7:00 PM,N/A,Rush Gymnasium,Win,2,False,N/A,False,--,,2,,3 ,"REBOUND OFF by KANESHIRO,RYAN",,,"REBOUND OFF by KANESHIRO,RYAN",1,offensive rebound,,occidental,"kaneshiro,ryan",,"['darst,daniel', 'weatherford,mitch', 'giroux,preston', 'berry,bryce', 'james,mac']","['yellin-flaherty,caleb', 'crosthwaite,jonny', 'baines,zach', 'dewitz,austin', 'kaneshiro,ryan']",
5,5919,Occidental,Rhodes,0,66-91,"44,47","28,38",3-0,2-3,N/A,N/A,11/21/18,7:00 PM,N/A,Rush Gymnasium,Win,2,False,N/A,False,19:03,"FOUL  by JAMES,MAC",2,,3 ,,,,"FOUL  by JAMES,MAC",1,foul,,rhodes,"james,mac",,"['darst,daniel', 'weatherford,mitch', 'giroux,preston', 'berry,bryce', 'james,mac']","['yellin-flaherty,caleb', 'crosthwaite,jonny', 'baines,zach', 'dewitz,austin', 'kaneshiro,ryan']",1143
6,5919,Occidental,Rhodes,0,66-91,"44,47","28,38",3-0,2-3,N/A,N/A,11/21/18,7:00 PM,N/A,Rush Gymnasium,Win,2,False,N/A,False,18:59,,2,,3 ,"TURNOVER  by DEWITZ,AUSTIN",,,"TURNOVER  by DEWITZ,AUSTIN",1,turnover,,occidental,"dewitz,austin",,"['darst,daniel', 'weatherford,mitch', 'giroux,preston', 'berry,bryce', 'james,mac']","['yellin-flaherty,caleb', 'crosthwaite,jonny', 'baines,zach', 'dewitz,austin', 'kaneshiro,ryan']",1139
7,5919,Occidental,Rhodes,0,66-91,"44,47","28,38",3-0,2-3,N/A,N/A,11/21/18,7:00 PM,N/A,Rush Gymnasium,Win,2,False,N/A,False,18:57,"STEAL  by GIROUX,PRESTON",2,,3 ,,,,"STEAL  by GIROUX,PRESTON",1,steal,,rhodes,,,"['darst,daniel', 'weatherford,mitch', 'giroux,preston', 'berry,bryce', 'james,mac']","['yellin-flaherty,caleb', 'crosthwaite,jonny', 'baines,zach', 'dewitz,austin', 'kaneshiro,ryan']",1137
8,5919,Occidental,Rhodes,0,66-91,"44,47","28,38",3-0,2-3,N/A,N/A,11/21/18,7:00 PM,N/A,Rush Gymnasium,Win,2,False,N/A,False,18:52,"TURNOVER  by GIROUX,PRESTON",2,,3 ,,,,"TURNOVER  by GIROUX,PRESTON",1,turnover,,rhodes,"giroux,preston",,"['darst,daniel', 'weatherford,mitch', 'giroux,preston', 'berry,bryce', 'james,mac']","['yellin-flaherty,caleb', 'crosthwaite,jonny', 'baines,zach', 'dewitz,austin', 'kaneshiro,ryan']",1132
9,5919,Occidental,Rhodes,0,66-91,"44,47","28,38",3-0,2-3,N/A,N/A,11/21/18,7:00 PM,N/A,Rush Gymnasium,Win,2,False,N/A,False,18:52,"FOUL  by GIROUX,PRESTON",2,,3 ,,,,"FOUL  by GIROUX,PRESTON",1,foul,,rhodes,"giroux,preston",,"['darst,daniel', 'weatherford,mitch', 'giroux,preston', 'berry,bryce', 'james,mac']","['yellin-flaherty,caleb', 'crosthwaite,jonny', 'baines,zach', 'dewitz,austin', 'kaneshiro,ryan']",1132
10,5919,Occidental,Rhodes,0,66-91,"44,47","28,38",3-0,2-3,N/A,N/A,11/21/18,7:00 PM,N/A,Rush Gymnasium,Win,2,False,N/A,False,18:28,,2,,6 ,"GOOD 3PTR by CROSTHWAITE,JONNY",OCCIDENT 2-6 (-4),,"GOOD 3PTR by CROSTHWAITE,JONNY",1,three pointer,good,occidental,"crosthwaite,jonny",3,"['darst,daniel', 'weatherford,mitch', 'giroux,preston', 'berry,bryce', 'james,mac']","['yellin-flaherty,caleb', 'crosthwaite,jonny', 'baines,zach', 'dewitz,austin', 'kaneshiro,ryan']",1108
11,5919,Occidental,Rhodes,0,66-91,"44,47","28,38",3-0,2-3,N/A,N/A,11/21/18,7:00 PM,N/A,Rush Gymnasium,Win,2,False,N/A,False,--,,2,,6 ,"ASSIST  by KANESHIRO,RYAN",,,"ASSIST  by KANESHIRO,RYAN",1,assist,,occidental,"kaneshiro,ryan",,"['darst,daniel', 'weatherford,mitch', 'giroux,preston', 'berry,bryce', 'james,mac']","['yellin-flaherty,caleb', 'crosthwaite,jonny', 'baines,zach', 'dewitz,austin', 'kaneshiro,ryan']",
12,5919,Occidental,Rhodes,0,66-91,"44,47","28,38",3-0,2-3,N/A,N/A,11/21/18,7:00 PM,N/A,Rush Gymnasium,Win,2,False,N/A,False,18:09,"GOOD JUMPER by BERRY,BRYCE(in the paint)",4,,6 ,,RHODES 4-6 (-2),,"GOOD JUMPER by BERRY,BRYCE(in the paint)",1,jumper,good,rhodes,"berry,bryce",2,"['darst,daniel', 'weatherford,mitch', 'giroux,preston', 'berry,bryce', 'james,mac']","['yellin-flaherty,caleb', 'crosthwaite,jonny', 'baines,zach', 'dewitz,austin', 'kaneshiro,ryan']",1089
13,5919,Occidental,Rhodes,0,66-91,"44,47","28,38",3-0,2-3,N/A,N/A,11/21/18,7:00 PM,N/A,Rush Gymnasium,Win,2,False,N/A,False,17:48,,4,,8 ,"GOOD JUMPER by DEWITZ,AUSTIN(in the paint)",OCCIDENT 4-8 (-4),,"GOOD JUMPER by DEWITZ,AUSTIN(in the paint)",1,jumper,good,occidental,"dewitz,austin",2,"['darst,daniel', 'weatherford,mitch', 'giroux,preston', 'berry,bryce', 'james,mac']","['yellin-flaherty,caleb', 'crosthwaite,jonny', 'baines,zach', 'dewitz,austin', 'kaneshiro,ryan']",1068
14,5919,Occidental,Rhodes,0,66-91,"44,47","28,38",3-0,2-3,N/A,N/A,11/21/18,7:00 PM,N/A,Rush Gymnasium,Win,2,False,N/A,False,17:22,"TURNOVER  by WEATHERFORD,MITCH",4,,8 ,,,,"TURNOVER  by WEATHERFORD,MITCH",1,turnover,,rhodes,"weatherford,mitch",,"['darst,daniel', 'weatherford,mitch', 'giroux,preston', 'berry,bryce', 'james,mac']","['yellin-flaherty,caleb', 'crosthwaite,jonny', 'baines,zach', 'dewitz,austin', 'kaneshiro,ryan']",1042
