,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,0667,Birmingham-Southern,LaGrange College,0,68-85,"41,44","41,27",2-0,1-1,N/A,N/A,11/16/14,5:00 PM,N/A,"Birmingham, Ala.",Win,2,False,475,False,19:51,,,,,"MISS 3PTR by WELCH,ROSS",,,"MISS 3PTR by WELCH,ROSS",1,three pointer,missed,birmingham-southern,"welch,ross",,"['ford,braxton', 'mitchell,nick', 'wagner,mark', 'white,mike', 'johnson,jordan']","['thomas,larry', 'welch,ross', 'avery,alex', 'thom,ian', 'galfsky,ander']",1191
1,0667,Birmingham-Southern,LaGrange College,0,68-85,"41,44","41,27",2-0,1-1,N/A,N/A,11/16/14,5:00 PM,N/A,"Birmingham, Ala.",Win,2,False,475,False,--,,,,,"REBOUND OFF by THOMAS,LARRY",,,"REBOUND OFF by THOMAS,LARRY",1,offensive rebound,,birmingham-southern,"thomas,larry",,"['ford,braxton', 'mitchell,nick', 'wagner,mark', 'white,mike', 'johnson,jordan']","['thomas,larry', 'welch,ross', 'avery,alex', 'thom,ian', 'galfsky,ander']",
2,0667,Birmingham-Southern,LaGrange College,0,68-85,"41,44","41,27",2-0,1-1,N/A,N/A,11/16/14,5:00 PM,N/A,"Birmingham, Ala.",Win,2,False,475,False,19:15,,,,,"TURNOVER  by AVERY,ALEX",,,"TURNOVER  by AVERY,ALEX",1,turnover,,birmingham-southern,"avery,alex",,"['ford,braxton', 'mitchell,nick', 'wagner,mark', 'white,mike', 'johnson,jordan']","['thomas,larry', 'welch,ross', 'avery,alex', 'thom,ian', 'galfsky,ander']",1155
3,0667,Birmingham-Southern,LaGrange College,0,68-85,"41,44","41,27",2-0,1-1,N/A,N/A,11/16/14,5:00 PM,N/A,"Birmingham, Ala.",Win,2,False,475,False,19:00,"TURNOVER  by WHITE,MIKE",,,,,,,"TURNOVER  by WHITE,MIKE",1,turnover,,lagrange college,"white,mike",,"['ford,braxton', 'mitchell,nick', 'wagner,mark', 'white,mike', 'johnson,jordan']","['thomas,larry', 'welch,ross', 'avery,alex', 'thom,ian', 'galfsky,ander']",1140
4,0667,Birmingham-Southern,LaGrange College,0,68-85,"41,44","41,27",2-0,1-1,N/A,N/A,11/16/14,5:00 PM,N/A,"Birmingham, Ala.",Win,2,False,475,False,18:59,,,,,"STEAL  by GALFSKY,ANDER",,,"STEAL  by GALFSKY,ANDER",1,steal,,birmingham-southern,,,"['ford,braxton', 'mitchell,nick', 'wagner,mark', 'white,mike', 'johnson,jordan']","['thomas,larry', 'welch,ross', 'avery,alex', 'thom,ian', 'galfsky,ander']",1139
5,0667,Birmingham-Southern,LaGrange College,0,68-85,"41,44","41,27",2-0,1-1,N/A,N/A,11/16/14,5:00 PM,N/A,"Birmingham, Ala.",Win,2,False,475,False,18:47,,,,,"FOUL  by WELCH,ROSS",,,"FOUL  by WELCH,ROSS",1,foul,,birmingham-southern,"welch,ross",,"['ford,braxton', 'mitchell,nick', 'wagner,mark', 'white,mike', 'johnson,jordan']","['thomas,larry', 'welch,ross', 'avery,alex', 'thom,ian', 'galfsky,ander']",1127
6,0667,Birmingham-Southern,LaGrange College,0,68-85,"41,44","41,27",2-0,1-1,N/A,N/A,11/16/14,5:00 PM,N/A,"Birmingham, Ala.",Win,2,False,475,False,18:47,,,,,"TURNOVER  by WELCH,ROSS",,,"TURNOVER  by WELCH,ROSS",1,turnover,,birmingham-southern,"welch,ross",,"['ford,braxton', 'mitchell,nick', 'wagner,mark', 'white,mike', 'johnson,jordan']","['thomas,larry', 'welch,ross', 'avery,alex', 'thom,ian', 'galfsky,ander']",1127
7,0667,Birmingham-Southern,LaGrange College,0,68-85,"41,44","41,27",2-0,1-1,N/A,N/A,11/16/14,5:00 PM,N/A,"Birmingham, Ala.",Win,2,False,475,False,18:32,"GOOD 3PTR by WAGNER,MARK",3 ,,0,,LAG 3-0 (-3),,"GOOD 3PTR by WAGNER,MARK",1,three pointer,good,lagrange college,"wagner,mark",3,"['ford,braxton', 'mitchell,nick', 'wagner,mark', 'white,mike', 'johnson,jordan']","['thomas,larry', 'welch,ross', 'avery,alex', 'thom,ian', 'galfsky,ander']",1112
8,0667,Birmingham-Southern,LaGrange College,0,68-85,"41,44","41,27",2-0,1-1,N/A,N/A,11/16/14,5:00 PM,N/A,"Birmingham, Ala.",Win,2,False,475,False,--,"ASSIST  by FORD,BRAXTON",3 ,,0,,,,"ASSIST  by FORD,BRAXTON",1,assist,,lagrange college,"ford,braxton",,"['ford,braxton', 'mitchell,nick', 'wagner,mark', 'white,mike', 'johnson,jordan']","['thomas,larry', 'welch,ross', 'avery,alex', 'thom,ian', 'galfsky,ander']",
9,0667,Birmingham-Southern,LaGrange College,0,68-85,"41,44","41,27",2-0,1-1,N/A,N/A,11/16/14,5:00 PM,N/A,"Birmingham, Ala.",Win,2,False,475,False,18:04,,3 ,,0,"MISS LAYUP by AVERY,ALEX",,,"MISS LAYUP by AVERY,ALEX",1,layup,missed,birmingham-southern,"avery,alex",,"['ford,braxton', 'mitchell,nick', 'wagner,mark', 'white,mike', 'johnson,jordan']","['thomas,larry', 'welch,ross', 'avery,alex', 'thom,ian', 'galfsky,ander']",1084
