,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,7923,Rhodes,Ozarks (AR),0,52-71,"38,33","24,28",1-0,0-1,0-0,0-0,11/05/21,7:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Win,2,False,375,False,19:37,,,,,"MISS LAYUP by ESSICK,JALEN(in the paint)",,,"MISS LAYUP by ESSICK,JALEN(in the paint)",1,layup,missed,rhodes,"essick,jalen",,"['roelke,kamren', 'nix,grayson', 'fresh,ray', 'dukes,jacob', 'little,carter']","['wiley,koki', 'essick,jalen', 'shen,kevin', 'james,mac', 'williams,jayson']",1177
1,7923,Rhodes,Ozarks (AR),0,52-71,"38,33","24,28",1-0,0-1,0-0,0-0,11/05/21,7:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Win,2,False,375,False,--,,,,,"REBOUND OFF by ESSICK,JALEN",,,"REBOUND OFF by ESSICK,JALEN",1,offensive rebound,,rhodes,"essick,jalen",,"['roelke,kamren', 'nix,grayson', 'fresh,ray', 'dukes,jacob', 'little,carter']","['wiley,koki', 'essick,jalen', 'shen,kevin', 'james,mac', 'williams,jayson']",
2,7923,Rhodes,Ozarks (AR),0,52-71,"38,33","24,28",1-0,0-1,0-0,0-0,11/05/21,7:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Win,2,False,375,False,19:31,,0,,3 ,"GOOD 3PTR by JAMES,MAC",Rhodes 0-3 (+3),,"GOOD 3PTR by JAMES,MAC",1,three pointer,good,rhodes,"james,mac",3,"['roelke,kamren', 'nix,grayson', 'fresh,ray', 'dukes,jacob', 'little,carter']","['wiley,koki', 'essick,jalen', 'shen,kevin', 'james,mac', 'williams,jayson']",1171
3,7923,Rhodes,Ozarks (AR),0,52-71,"38,33","24,28",1-0,0-1,0-0,0-0,11/05/21,7:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Win,2,False,375,False,--,,0,,3 ,"ASSIST  by WILEY,KOKI",,,"ASSIST  by WILEY,KOKI",1,assist,,rhodes,"wiley,koki",,"['roelke,kamren', 'nix,grayson', 'fresh,ray', 'dukes,jacob', 'little,carter']","['wiley,koki', 'essick,jalen', 'shen,kevin', 'james,mac', 'williams,jayson']",
4,7923,Rhodes,Ozarks (AR),0,52-71,"38,33","24,28",1-0,0-1,0-0,0-0,11/05/21,7:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Win,2,False,375,False,19:06,"MISS JUMPER by NIX,GRAYSON(in the paint)",0,,3 ,,,,"MISS JUMPER by NIX,GRAYSON(in the paint)",1,jumper,missed,ozarks (ar),"nix,grayson",,"['roelke,kamren', 'nix,grayson', 'fresh,ray', 'dukes,jacob', 'little,carter']","['wiley,koki', 'essick,jalen', 'shen,kevin', 'james,mac', 'williams,jayson']",1146
5,7923,Rhodes,Ozarks (AR),0,52-71,"38,33","24,28",1-0,0-1,0-0,0-0,11/05/21,7:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Win,2,False,375,False,19:06,,0,,3 ,"BLOCK  by WILLIAMS,JAYSON",,,"BLOCK  by WILLIAMS,JAYSON",1,block,,rhodes,"williams,jayson",,"['roelke,kamren', 'nix,grayson', 'fresh,ray', 'dukes,jacob', 'little,carter']","['wiley,koki', 'essick,jalen', 'shen,kevin', 'james,mac', 'williams,jayson']",1146
6,7923,Rhodes,Ozarks (AR),0,52-71,"38,33","24,28",1-0,0-1,0-0,0-0,11/05/21,7:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Win,2,False,375,False,--,,0,,3 ,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1,defensive rebound,,rhodes,"wiley,koki",,"['roelke,kamren', 'nix,grayson', 'fresh,ray', 'dukes,jacob', 'little,carter']","['wiley,koki', 'essick,jalen', 'shen,kevin', 'james,mac', 'williams,jayson']",
7,7923,Rhodes,Ozarks (AR),0,52-71,"38,33","24,28",1-0,0-1,0-0,0-0,11/05/21,7:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Win,2,False,375,False,18:51,,0,,3 ,"MISS 3PTR by SHEN,KEVIN",,,"MISS 3PTR by SHEN,KEVIN",1,three pointer,missed,rhodes,"shen,kevin",,"['roelke,kamren', 'nix,grayson', 'fresh,ray', 'dukes,jacob', 'little,carter']","['wiley,koki', 'essick,jalen', 'shen,kevin', 'james,mac', 'williams,jayson']",1131
8,7923,Rhodes,Ozarks (AR),0,52-71,"38,33","24,28",1-0,0-1,0-0,0-0,11/05/21,7:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Win,2,False,375,False,--,"REBOUND DEF by ROELKE,KAMREN",0,,3 ,,,,"REBOUND DEF by ROELKE,KAMREN",1,defensive rebound,,ozarks (ar),"roelke,kamren",,"['roelke,kamren', 'nix,grayson', 'fresh,ray', 'dukes,jacob', 'little,carter']","['wiley,koki', 'essick,jalen', 'shen,kevin', 'james,mac', 'williams,jayson']",
9,7923,Rhodes,Ozarks (AR),0,52-71,"38,33","24,28",1-0,0-1,0-0,0-0,11/05/21,7:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Win,2,False,375,False,18:43,"MISS 3PTR by NIX,GRAYSON",0,,3 ,,,,"MISS 3PTR by NIX,GRAYSON",1,three pointer,missed,ozarks (ar),"nix,grayson",,"['roelke,kamren', 'nix,grayson', 'fresh,ray', 'dukes,jacob', 'little,carter']","['wiley,koki', 'essick,jalen', 'shen,kevin', 'james,mac', 'williams,jayson']",1123
