,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,7928,Rhodes,Westminster (MO),0,65-92,"45,47","32,33",3-2,3-4,0-0,0-0,11/27/21,2:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Win,2,False,250,False,19:46,,0,,2 ,"GOOD LAYUP by WILEY,KOKI(in the paint)",Rhodes 0-2 (+2),,"GOOD LAYUP by WILEY,KOKI(in the paint)",1,layup,good,rhodes,"wiley,koki",2,"['harrison,landon', 'althaus,jaxon', 'kempker,tre', 'galbreath,makygh', 'spriggs,emil']","['wiley,koki', 'williams,zavien', 'clayton,tj', 'walker,jefferson', 'williams,jayson']",1186
1,7928,Rhodes,Westminster (MO),0,65-92,"45,47","32,33",3-2,3-4,0-0,0-0,11/27/21,2:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Win,2,False,250,False,19:16,"MISS JUMPER by HARRISON,LANDON",0,,2 ,,,,"MISS JUMPER by HARRISON,LANDON",1,jumper,missed,westminster (mo),"harrison,landon",,"['harrison,landon', 'althaus,jaxon', 'kempker,tre', 'galbreath,makygh', 'spriggs,emil']","['wiley,koki', 'williams,zavien', 'clayton,tj', 'walker,jefferson', 'williams,jayson']",1156
2,7928,Rhodes,Westminster (MO),0,65-92,"45,47","32,33",3-2,3-4,0-0,0-0,11/27/21,2:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Win,2,False,250,False,--,,0,,2 ,"REBOUND DEF by WILLIAMS,ZAVIEN",,,"REBOUND DEF by WILLIAMS,ZAVIEN",1,defensive rebound,,rhodes,"williams,zavien",,"['harrison,landon', 'althaus,jaxon', 'kempker,tre', 'galbreath,makygh', 'spriggs,emil']","['wiley,koki', 'williams,zavien', 'clayton,tj', 'walker,jefferson', 'williams,jayson']",
3,7928,Rhodes,Westminster (MO),0,65-92,"45,47","32,33",3-2,3-4,0-0,0-0,11/27/21,2:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Win,2,False,250,False,18:56,,0,,2 ,"MISS 3PTR by WILEY,KOKI",,,"MISS 3PTR by WILEY,KOKI",1,three pointer,missed,rhodes,"wiley,koki",,"['harrison,landon', 'althaus,jaxon', 'kempker,tre', 'galbreath,makygh', 'spriggs,emil']","['wiley,koki', 'williams,zavien', 'clayton,tj', 'walker,jefferson', 'williams,jayson']",1136
4,7928,Rhodes,Westminster (MO),0,65-92,"45,47","32,33",3-2,3-4,0-0,0-0,11/27/21,2:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Win,2,False,250,False,--,"REBOUND DEF by SPRIGGS,EMIL",0,,2 ,,,,"REBOUND DEF by SPRIGGS,EMIL",1,defensive rebound,,westminster (mo),"spriggs,emil",,"['harrison,landon', 'althaus,jaxon', 'kempker,tre', 'galbreath,makygh', 'spriggs,emil']","['wiley,koki', 'williams,zavien', 'clayton,tj', 'walker,jefferson', 'williams,jayson']",
5,7928,Rhodes,Westminster (MO),0,65-92,"45,47","32,33",3-2,3-4,0-0,0-0,11/27/21,2:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Win,2,False,250,False,18:48,"MISS JUMPER by SPRIGGS,EMIL",0,,2 ,,,,"MISS JUMPER by SPRIGGS,EMIL",1,jumper,missed,westminster (mo),"spriggs,emil",,"['harrison,landon', 'althaus,jaxon', 'kempker,tre', 'galbreath,makygh', 'spriggs,emil']","['wiley,koki', 'williams,zavien', 'clayton,tj', 'walker,jefferson', 'williams,jayson']",1128
6,7928,Rhodes,Westminster (MO),0,65-92,"45,47","32,33",3-2,3-4,0-0,0-0,11/27/21,2:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Win,2,False,250,False,--,"REBOUND OFF by HARRISON,LANDON",0,,2 ,,,,"REBOUND OFF by HARRISON,LANDON",1,offensive rebound,,westminster (mo),"harrison,landon",,"['harrison,landon', 'althaus,jaxon', 'kempker,tre', 'galbreath,makygh', 'spriggs,emil']","['wiley,koki', 'williams,zavien', 'clayton,tj', 'walker,jefferson', 'williams,jayson']",
7,7928,Rhodes,Westminster (MO),0,65-92,"45,47","32,33",3-2,3-4,0-0,0-0,11/27/21,2:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Win,2,False,250,False,18:42,"GOOD 3PTR by ALTHAUS,JAXON",3 ,,2,,WESTMO 3-2 (-1),,"GOOD 3PTR by ALTHAUS,JAXON",1,three pointer,good,westminster (mo),"althaus,jaxon",3,"['harrison,landon', 'althaus,jaxon', 'kempker,tre', 'galbreath,makygh', 'spriggs,emil']","['wiley,koki', 'williams,zavien', 'clayton,tj', 'walker,jefferson', 'williams,jayson']",1122
8,7928,Rhodes,Westminster (MO),0,65-92,"45,47","32,33",3-2,3-4,0-0,0-0,11/27/21,2:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Win,2,False,250,False,--,"ASSIST  by SPRIGGS,EMIL",3 ,,2,,,,"ASSIST  by SPRIGGS,EMIL",1,assist,,westminster (mo),"spriggs,emil",,"['harrison,landon', 'althaus,jaxon', 'kempker,tre', 'galbreath,makygh', 'spriggs,emil']","['wiley,koki', 'williams,zavien', 'clayton,tj', 'walker,jefferson', 'williams,jayson']",
9,7928,Rhodes,Westminster (MO),0,65-92,"45,47","32,33",3-2,3-4,0-0,0-0,11/27/21,2:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Win,2,False,250,False,18:12,,3,,4 ,"GOOD JUMPER by WALKER,JEFFERSON(in the paint)",Rhodes 3-4 (+1),,"GOOD JUMPER by WALKER,JEFFERSON(in the paint)",1,jumper,good,rhodes,"walker,jefferson",2,"['harrison,landon', 'althaus,jaxon', 'kempker,tre', 'galbreath,makygh', 'spriggs,emil']","['wiley,koki', 'williams,zavien', 'clayton,tj', 'walker,jefferson', 'williams,jayson']",1092
10,7928,Rhodes,Westminster (MO),0,65-92,"45,47","32,33",3-2,3-4,0-0,0-0,11/27/21,2:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Win,2,False,250,False,17:55,"MISS JUMPER by SPRIGGS,EMIL",3,,4 ,,,,"MISS JUMPER by SPRIGGS,EMIL",1,jumper,missed,westminster (mo),"spriggs,emil",,"['harrison,landon', 'althaus,jaxon', 'kempker,tre', 'galbreath,makygh', 'spriggs,emil']","['wiley,koki', 'williams,zavien', 'clayton,tj', 'walker,jefferson', 'williams,jayson']",1075
11,7928,Rhodes,Westminster (MO),0,65-92,"45,47","32,33",3-2,3-4,0-0,0-0,11/27/21,2:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Win,2,False,250,False,--,,3,,4 ,"REBOUND DEF by WILEY,KOKI",,,"REBOUND DEF by WILEY,KOKI",1,defensive rebound,,rhodes,"wiley,koki",,"['harrison,landon', 'althaus,jaxon', 'kempker,tre', 'galbreath,makygh', 'spriggs,emil']","['wiley,koki', 'williams,zavien', 'clayton,tj', 'walker,jefferson', 'williams,jayson']",
12,7928,Rhodes,Westminster (MO),0,65-92,"45,47","32,33",3-2,3-4,0-0,0-0,11/27/21,2:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Win,2,False,250,False,17:27,,3,,4 ,"MISS JUMPER by WILLIAMS,JAYSON(in the paint)",,,"MISS JUMPER by WILLIAMS,JAYSON(in the paint)",1,jumper,missed,rhodes,"williams,jayson",,"['harrison,landon', 'althaus,jaxon', 'kempker,tre', 'galbreath,makygh', 'spriggs,emil']","['wiley,koki', 'williams,zavien', 'clayton,tj', 'walker,jefferson', 'williams,jayson']",1047
13,7928,Rhodes,Westminster (MO),0,65-92,"45,47","32,33",3-2,3-4,0-0,0-0,11/27/21,2:00 PM,N/A,"Mallory Gymnasium, Memphis, TN",Win,2,False,250,False,--,"REBOUND DEF by HARRISON,LANDON",3,,4 ,,,,"REBOUND DEF by HARRISON,LANDON",1,defensive rebound,,westminster (mo),"harrison,landon",,"['harrison,landon', 'althaus,jaxon', 'kempker,tre', 'galbreath,makygh', 'spriggs,emil']","['wiley,koki', 'williams,zavien', 'clayton,tj', 'walker,jefferson', 'williams,jayson']",
