,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,1033,Sewanee,Rhodes College MBB,1,61-60,"33,23,4","32,24,5",11-12,17-6,5-11,11-5,02/17/12,8:00 p.m.,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,3,True,932,False,19:39,"GOOD 3PTR by MCGRAIL,PATRICK",3 ,,0,,RCMBB12 3-0 (-3),,"GOOD 3PTR by MCGRAIL,PATRICK",1,three pointer,good,rhodes college mbb,"mcgrail,patrick",3,"['galow,andrew', 'dunavant,john', 'kilpatrick,kory', 'hartwell,theo', 'mcgrail,patrick']","['brown,tyler', 'affronti,lewis', 'bryant,valentino', 'nelson,anvil', 'williams,trent']",1179
1,1033,Sewanee,Rhodes College MBB,1,61-60,"33,23,4","32,24,5",11-12,17-6,5-11,11-5,02/17/12,8:00 p.m.,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,3,True,932,False,--,"ASSIST  by GALOW,ANDREW",3 ,,0,,,,"ASSIST  by GALOW,ANDREW",1,assist,,rhodes college mbb,"galow,andrew",,"['galow,andrew', 'dunavant,john', 'kilpatrick,kory', 'hartwell,theo', 'mcgrail,patrick']","['brown,tyler', 'affronti,lewis', 'bryant,valentino', 'nelson,anvil', 'williams,trent']",
2,1033,Sewanee,Rhodes College MBB,1,61-60,"33,23,4","32,24,5",11-12,17-6,5-11,11-5,02/17/12,8:00 p.m.,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,3,True,932,False,19:10,,3 ,,0,"MISS 3PTR by BROWN,TYLER",,,"MISS 3PTR by BROWN,TYLER",1,three pointer,missed,sewanee,"brown,tyler",,"['galow,andrew', 'dunavant,john', 'kilpatrick,kory', 'hartwell,theo', 'mcgrail,patrick']","['brown,tyler', 'affronti,lewis', 'bryant,valentino', 'nelson,anvil', 'williams,trent']",1150
3,1033,Sewanee,Rhodes College MBB,1,61-60,"33,23,4","32,24,5",11-12,17-6,5-11,11-5,02/17/12,8:00 p.m.,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,3,True,932,False,--,REBOUND DEF by TEAM,3 ,,0,,,,REBOUND DEF by TEAM,1,defensive rebound,,rhodes college mbb,,,"['galow,andrew', 'dunavant,john', 'kilpatrick,kory', 'hartwell,theo', 'mcgrail,patrick']","['brown,tyler', 'affronti,lewis', 'bryant,valentino', 'nelson,anvil', 'williams,trent']",
4,1033,Sewanee,Rhodes College MBB,1,61-60,"33,23,4","32,24,5",11-12,17-6,5-11,11-5,02/17/12,8:00 p.m.,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,3,True,932,False,18:48,"GOOD JUMPER by KILPATRICK,KORY(in the paint)",5 ,,0,,RCMBB12 5-0 (-5),,"GOOD JUMPER by KILPATRICK,KORY(in the paint)",1,jumper,good,rhodes college mbb,"kilpatrick,kory",2,"['galow,andrew', 'dunavant,john', 'kilpatrick,kory', 'hartwell,theo', 'mcgrail,patrick']","['brown,tyler', 'affronti,lewis', 'bryant,valentino', 'nelson,anvil', 'williams,trent']",1128
5,1033,Sewanee,Rhodes College MBB,1,61-60,"33,23,4","32,24,5",11-12,17-6,5-11,11-5,02/17/12,8:00 p.m.,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,3,True,932,False,18:17,"FOUL  by HARTWELL,THEO",5 ,,0,,,,"FOUL  by HARTWELL,THEO",1,foul,,rhodes college mbb,"hartwell,theo",,"['galow,andrew', 'dunavant,john', 'kilpatrick,kory', 'hartwell,theo', 'mcgrail,patrick']","['brown,tyler', 'affronti,lewis', 'bryant,valentino', 'nelson,anvil', 'williams,trent']",1097
6,1033,Sewanee,Rhodes College MBB,1,61-60,"33,23,4","32,24,5",11-12,17-6,5-11,11-5,02/17/12,8:00 p.m.,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,3,True,932,False,18:17,,5 ,,0,"MISS FT by BROWN,TYLER",,,"MISS FT by BROWN,TYLER",1,free throw,missed,sewanee,"brown,tyler",,"['galow,andrew', 'dunavant,john', 'kilpatrick,kory', 'hartwell,theo', 'mcgrail,patrick']","['brown,tyler', 'affronti,lewis', 'bryant,valentino', 'nelson,anvil', 'williams,trent']",1097
7,1033,Sewanee,Rhodes College MBB,1,61-60,"33,23,4","32,24,5",11-12,17-6,5-11,11-5,02/17/12,8:00 p.m.,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,3,True,932,False,--,,5 ,,0,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1,deadball rebound,,sewanee,,,"['galow,andrew', 'dunavant,john', 'kilpatrick,kory', 'hartwell,theo', 'mcgrail,patrick']","['brown,tyler', 'affronti,lewis', 'bryant,valentino', 'nelson,anvil', 'williams,trent']",
8,1033,Sewanee,Rhodes College MBB,1,61-60,"33,23,4","32,24,5",11-12,17-6,5-11,11-5,02/17/12,8:00 p.m.,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,3,True,932,False,18:17,,5 ,,0,"MISS FT by BROWN,TYLER",,,"MISS FT by BROWN,TYLER",1,free throw,missed,sewanee,"brown,tyler",,"['galow,andrew', 'dunavant,john', 'kilpatrick,kory', 'hartwell,theo', 'mcgrail,patrick']","['brown,tyler', 'affronti,lewis', 'bryant,valentino', 'nelson,anvil', 'williams,trent']",1097
9,1033,Sewanee,Rhodes College MBB,1,61-60,"33,23,4","32,24,5",11-12,17-6,5-11,11-5,02/17/12,8:00 p.m.,N/A,"Sewanee, Tenn. (Juhan Gymnasium)",Lose,3,True,932,False,--,,5 ,,0,"REBOUND OFF by WILLIAMS,TRENT",,,"REBOUND OFF by WILLIAMS,TRENT",1,offensive rebound,,sewanee,"williams,trent",,"['galow,andrew', 'dunavant,john', 'kilpatrick,kory', 'hartwell,theo', 'mcgrail,patrick']","['brown,tyler', 'affronti,lewis', 'bryant,valentino', 'nelson,anvil', 'williams,trent']",
