,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,3680,Berry,Hendrix,1,56-72,"44,28","26,30",4-0,1-3,4-0,1-3,01/30/21,1:00 PM ET,N/A,"Mount Berry, Ga.",Win,2,False,217,False,19:44,"MISS JUMPER by II,ROD CUMMINGS",,,,,,,"MISS JUMPER by II,ROD CUMMINGS",1,jumper,missed,hendrix,"ii,rod cummings",,"['stanley,seth', 'fitch,carl', 'deithloff,tyler', 'coman,sean', 'cummings,rod']","['johnson,michael', 'johnson,micah', 'jones,drew', 'brooks,austin', 'wehunt,dawson']",1184
1,3680,Berry,Hendrix,1,56-72,"44,28","26,30",4-0,1-3,4-0,1-3,01/30/21,1:00 PM ET,N/A,"Mount Berry, Ga.",Win,2,False,217,False,--,,,,,"REBOUND DEF by JOHNSON,MICHAEL",,,"REBOUND DEF by JOHNSON,MICHAEL",1,defensive rebound,,berry,"johnson,michael",,"['stanley,seth', 'fitch,carl', 'deithloff,tyler', 'coman,sean', 'cummings,rod']","['johnson,michael', 'johnson,micah', 'jones,drew', 'brooks,austin', 'wehunt,dawson']",
2,3680,Berry,Hendrix,1,56-72,"44,28","26,30",4-0,1-3,4-0,1-3,01/30/21,1:00 PM ET,N/A,"Mount Berry, Ga.",Win,2,False,217,False,19:36,,,,,"MISS LAYUP by JOHNSON,MICAH",,,"MISS LAYUP by JOHNSON,MICAH",1,layup,missed,berry,"johnson,micah",,"['stanley,seth', 'fitch,carl', 'deithloff,tyler', 'coman,sean', 'cummings,rod']","['johnson,michael', 'johnson,micah', 'jones,drew', 'brooks,austin', 'wehunt,dawson']",1176
3,3680,Berry,Hendrix,1,56-72,"44,28","26,30",4-0,1-3,4-0,1-3,01/30/21,1:00 PM ET,N/A,"Mount Berry, Ga.",Win,2,False,217,False,--,,,,,"REBOUND OFF by BROOKS,AUSTIN",,,"REBOUND OFF by BROOKS,AUSTIN",1,offensive rebound,,berry,"brooks,austin",,"['stanley,seth', 'fitch,carl', 'deithloff,tyler', 'coman,sean', 'cummings,rod']","['johnson,michael', 'johnson,micah', 'jones,drew', 'brooks,austin', 'wehunt,dawson']",
4,3680,Berry,Hendrix,1,56-72,"44,28","26,30",4-0,1-3,4-0,1-3,01/30/21,1:00 PM ET,N/A,"Mount Berry, Ga.",Win,2,False,217,False,19:30,,,,,"MISS LAYUP by BROOKS,AUSTIN",,,"MISS LAYUP by BROOKS,AUSTIN",1,layup,missed,berry,"brooks,austin",,"['stanley,seth', 'fitch,carl', 'deithloff,tyler', 'coman,sean', 'cummings,rod']","['johnson,michael', 'johnson,micah', 'jones,drew', 'brooks,austin', 'wehunt,dawson']",1170
5,3680,Berry,Hendrix,1,56-72,"44,28","26,30",4-0,1-3,4-0,1-3,01/30/21,1:00 PM ET,N/A,"Mount Berry, Ga.",Win,2,False,217,False,--,"REBOUND DEF by STANLEY,SETH",,,,,,,"REBOUND DEF by STANLEY,SETH",1,defensive rebound,,hendrix,"stanley,seth",,"['stanley,seth', 'fitch,carl', 'deithloff,tyler', 'coman,sean', 'cummings,rod']","['johnson,michael', 'johnson,micah', 'jones,drew', 'brooks,austin', 'wehunt,dawson']",
6,3680,Berry,Hendrix,1,56-72,"44,28","26,30",4-0,1-3,4-0,1-3,01/30/21,1:00 PM ET,N/A,"Mount Berry, Ga.",Win,2,False,217,False,19:15,"MISS 3PTR by STANLEY,SETH",,,,,,,"MISS 3PTR by STANLEY,SETH",1,three pointer,missed,hendrix,"stanley,seth",,"['stanley,seth', 'fitch,carl', 'deithloff,tyler', 'coman,sean', 'cummings,rod']","['johnson,michael', 'johnson,micah', 'jones,drew', 'brooks,austin', 'wehunt,dawson']",1155
7,3680,Berry,Hendrix,1,56-72,"44,28","26,30",4-0,1-3,4-0,1-3,01/30/21,1:00 PM ET,N/A,"Mount Berry, Ga.",Win,2,False,217,False,--,,,,,"REBOUND DEF by JOHNSON,MICAH",,,"REBOUND DEF by JOHNSON,MICAH",1,defensive rebound,,berry,"johnson,micah",,"['stanley,seth', 'fitch,carl', 'deithloff,tyler', 'coman,sean', 'cummings,rod']","['johnson,michael', 'johnson,micah', 'jones,drew', 'brooks,austin', 'wehunt,dawson']",
8,3680,Berry,Hendrix,1,56-72,"44,28","26,30",4-0,1-3,4-0,1-3,01/30/21,1:00 PM ET,N/A,"Mount Berry, Ga.",Win,2,False,217,False,18:45,,0,,2 ,"GOOD JUMPER by JOHNSON,MICHAEL(in the paint)",BERRY 0-2 (-2),,"GOOD JUMPER by JOHNSON,MICHAEL(in the paint)",1,jumper,good,berry,"johnson,michael",2,"['stanley,seth', 'fitch,carl', 'deithloff,tyler', 'coman,sean', 'cummings,rod']","['johnson,michael', 'johnson,micah', 'jones,drew', 'brooks,austin', 'wehunt,dawson']",1125
9,3680,Berry,Hendrix,1,56-72,"44,28","26,30",4-0,1-3,4-0,1-3,01/30/21,1:00 PM ET,N/A,"Mount Berry, Ga.",Win,2,False,217,False,18:24,"TURNOVER  by FITCH,CARL",0,,2 ,,,,"TURNOVER  by FITCH,CARL",1,turnover,,hendrix,"fitch,carl",,"['stanley,seth', 'fitch,carl', 'deithloff,tyler', 'coman,sean', 'cummings,rod']","['johnson,michael', 'johnson,micah', 'jones,drew', 'brooks,austin', 'wehunt,dawson']",1104
