,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,1724,Hendrix,UT Dallas,0,92-69,"24,45","43,49",1-4,3-0,N/A,N/A,11/29/15,2 p.m.,N/A,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,146,False,19:40,"GOOD JUMPER by HATCHER,JON",2 ,,0,,UTD 2-0 (-2),,"GOOD JUMPER by HATCHER,JON",1,jumper,good,ut dallas,"hatcher,jon",2,"['hatcher,jon', 'coulter,kyle', 'banks,caleb', 'keogh,reagan', 'ogunfeitmi,dapo']","['smith,preston', 'nikolovski,drew', 'littlefield,gearen', 'barrett,jordan', 'batchelor,bryce']",1180
1,1724,Hendrix,UT Dallas,0,92-69,"24,45","43,49",1-4,3-0,N/A,N/A,11/29/15,2 p.m.,N/A,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,146,False,--,"ASSIST  by BANKS,CALEB",2 ,,0,,,,"ASSIST  by BANKS,CALEB",1,assist,,ut dallas,"banks,caleb",,"['hatcher,jon', 'coulter,kyle', 'banks,caleb', 'keogh,reagan', 'ogunfeitmi,dapo']","['smith,preston', 'nikolovski,drew', 'littlefield,gearen', 'barrett,jordan', 'batchelor,bryce']",
2,1724,Hendrix,UT Dallas,0,92-69,"24,45","43,49",1-4,3-0,N/A,N/A,11/29/15,2 p.m.,N/A,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,146,False,19:26,,2 ,,0,"TURNOVER  by BARRETT,JORDAN",,,"TURNOVER  by BARRETT,JORDAN",1,turnover,,hendrix,"barrett,jordan",,"['hatcher,jon', 'coulter,kyle', 'banks,caleb', 'keogh,reagan', 'ogunfeitmi,dapo']","['smith,preston', 'nikolovski,drew', 'littlefield,gearen', 'barrett,jordan', 'batchelor,bryce']",1166
3,1724,Hendrix,UT Dallas,0,92-69,"24,45","43,49",1-4,3-0,N/A,N/A,11/29/15,2 p.m.,N/A,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,146,False,19:25,"STEAL  by HATCHER,JON",2 ,,0,,,,"STEAL  by HATCHER,JON",1,steal,,ut dallas,,,"['hatcher,jon', 'coulter,kyle', 'banks,caleb', 'keogh,reagan', 'ogunfeitmi,dapo']","['smith,preston', 'nikolovski,drew', 'littlefield,gearen', 'barrett,jordan', 'batchelor,bryce']",1165
4,1724,Hendrix,UT Dallas,0,92-69,"24,45","43,49",1-4,3-0,N/A,N/A,11/29/15,2 p.m.,N/A,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,146,False,19:17,"MISS JUMPER by HATCHER,JON",2 ,,0,,,,"MISS JUMPER by HATCHER,JON",1,jumper,missed,ut dallas,"hatcher,jon",,"['hatcher,jon', 'coulter,kyle', 'banks,caleb', 'keogh,reagan', 'ogunfeitmi,dapo']","['smith,preston', 'nikolovski,drew', 'littlefield,gearen', 'barrett,jordan', 'batchelor,bryce']",1157
5,1724,Hendrix,UT Dallas,0,92-69,"24,45","43,49",1-4,3-0,N/A,N/A,11/29/15,2 p.m.,N/A,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,146,False,--,"REBOUND OFF by COULTER,KYLE",2 ,,0,,,,"REBOUND OFF by COULTER,KYLE",1,offensive rebound,,ut dallas,"coulter,kyle",,"['hatcher,jon', 'coulter,kyle', 'banks,caleb', 'keogh,reagan', 'ogunfeitmi,dapo']","['smith,preston', 'nikolovski,drew', 'littlefield,gearen', 'barrett,jordan', 'batchelor,bryce']",
6,1724,Hendrix,UT Dallas,0,92-69,"24,45","43,49",1-4,3-0,N/A,N/A,11/29/15,2 p.m.,N/A,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,146,False,18:51,"MISS 3PTR by COULTER,KYLE",2 ,,0,,,,"MISS 3PTR by COULTER,KYLE",1,three pointer,missed,ut dallas,"coulter,kyle",,"['hatcher,jon', 'coulter,kyle', 'banks,caleb', 'keogh,reagan', 'ogunfeitmi,dapo']","['smith,preston', 'nikolovski,drew', 'littlefield,gearen', 'barrett,jordan', 'batchelor,bryce']",1131
7,1724,Hendrix,UT Dallas,0,92-69,"24,45","43,49",1-4,3-0,N/A,N/A,11/29/15,2 p.m.,N/A,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,146,False,--,,2 ,,0,"REBOUND DEF by NIKOLOVSKI,DREW",,,"REBOUND DEF by NIKOLOVSKI,DREW",1,defensive rebound,,hendrix,"nikolovski,drew",,"['hatcher,jon', 'coulter,kyle', 'banks,caleb', 'keogh,reagan', 'ogunfeitmi,dapo']","['smith,preston', 'nikolovski,drew', 'littlefield,gearen', 'barrett,jordan', 'batchelor,bryce']",
8,1724,Hendrix,UT Dallas,0,92-69,"24,45","43,49",1-4,3-0,N/A,N/A,11/29/15,2 p.m.,N/A,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,146,False,18:28,,2,,2,"GOOD JUMPER by BARRETT,JORDAN",HC 2-2 (0),,"GOOD JUMPER by BARRETT,JORDAN",1,jumper,good,hendrix,"barrett,jordan",2,"['hatcher,jon', 'coulter,kyle', 'banks,caleb', 'keogh,reagan', 'ogunfeitmi,dapo']","['smith,preston', 'nikolovski,drew', 'littlefield,gearen', 'barrett,jordan', 'batchelor,bryce']",1108
9,1724,Hendrix,UT Dallas,0,92-69,"24,45","43,49",1-4,3-0,N/A,N/A,11/29/15,2 p.m.,N/A,"Conway, Ark. (Grove Gymnasium)",Lose,2,False,146,False,18:01,,2,,2,"FOUL  by BATCHELOR,BRYCE",,,"FOUL  by BATCHELOR,BRYCE",1,foul,,hendrix,"batchelor,bryce",,"['hatcher,jon', 'coulter,kyle', 'banks,caleb', 'keogh,reagan', 'ogunfeitmi,dapo']","['smith,preston', 'nikolovski,drew', 'littlefield,gearen', 'barrett,jordan', 'batchelor,bryce']",1081
