,Unnamed: 0,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds,Poss,possNum,pppHome,pppAway
0,0,1172,Sewanee,Centre,1,73-77,"42,35","28,45",13-11,13-9,6-7,9-4,02/18/17,3:00 PM,,"Sewanee, TN (Juhan Gymnasium)",Win,2,False,653,False,19:47,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",1,foul,,sewanee,"stone,brody",,"['griffin,jarod', 'sine,tucker', 'gump,matt', 'spitzer,jakob', 'rakes,bailey']","['williams,jorden', 'born,clay', 'stone,brody', 'buescher,hunter', 'born,leo']",1187.0,sewanee,1,0,0.0
1,1,1172,Sewanee,Centre,1,73-77,"42,35","28,45",13-11,13-9,6-7,9-4,02/18/17,3:00 PM,,"Sewanee, TN (Juhan Gymnasium)",Win,2,False,653,False,19:47,,,,,"TURNOVER  by STONE,BRODY",,,"TURNOVER  by STONE,BRODY",1,turnover,,sewanee,"stone,brody",,"['griffin,jarod', 'sine,tucker', 'gump,matt', 'spitzer,jakob', 'rakes,bailey']","['williams,jorden', 'born,clay', 'stone,brody', 'buescher,hunter', 'born,leo']",1187.0,sewanee,1,0,0.0
2,2,1172,Sewanee,Centre,1,73-77,"42,35","28,45",13-11,13-9,6-7,9-4,02/18/17,3:00 PM,,"Sewanee, TN (Juhan Gymnasium)",Win,2,False,653,False,19:22,"MISS LAYUP by RAKES,BAILEY",,,,,,,"MISS LAYUP by RAKES,BAILEY",1,layup,missed,centre,"rakes,bailey",,"['griffin,jarod', 'sine,tucker', 'gump,matt', 'spitzer,jakob', 'rakes,bailey']","['williams,jorden', 'born,clay', 'stone,brody', 'buescher,hunter', 'born,leo']",1162.0,centre,2,0,0.0
3,3,1172,Sewanee,Centre,1,73-77,"42,35","28,45",13-11,13-9,6-7,9-4,02/18/17,3:00 PM,,"Sewanee, TN (Juhan Gymnasium)",Win,2,False,653,False,--,,,,,"REBOUND DEF by BUESCHER,HUNTER",,,"REBOUND DEF by BUESCHER,HUNTER",1,defensive rebound,,sewanee,"buescher,hunter",,"['griffin,jarod', 'sine,tucker', 'gump,matt', 'spitzer,jakob', 'rakes,bailey']","['williams,jorden', 'born,clay', 'stone,brody', 'buescher,hunter', 'born,leo']",,centre,2,0,0.0
4,4,1172,Sewanee,Centre,1,73-77,"42,35","28,45",13-11,13-9,6-7,9-4,02/18/17,3:00 PM,,"Sewanee, TN (Juhan Gymnasium)",Win,2,False,653,False,19:01,,0.0,,3.0,"GOOD 3PTR by BORN,CLAY",SEWANEE 0-3 (+3),,"GOOD 3PTR by BORN,CLAY",1,three pointer,good,sewanee,"born,clay",3.0,"['griffin,jarod', 'sine,tucker', 'gump,matt', 'spitzer,jakob', 'rakes,bailey']","['williams,jorden', 'born,clay', 'stone,brody', 'buescher,hunter', 'born,leo']",1141.0,sewanee,3,0,0.0
5,5,1172,Sewanee,Centre,1,73-77,"42,35","28,45",13-11,13-9,6-7,9-4,02/18/17,3:00 PM,,"Sewanee, TN (Juhan Gymnasium)",Win,2,False,653,False,--,,0.0,,3.0,"ASSIST  by STONE,BRODY",,,"ASSIST  by STONE,BRODY",1,assist,,sewanee,"stone,brody",,"['griffin,jarod', 'sine,tucker', 'gump,matt', 'spitzer,jakob', 'rakes,bailey']","['williams,jorden', 'born,clay', 'stone,brody', 'buescher,hunter', 'born,leo']",,sewanee,3,0,0.0
6,6,1172,Sewanee,Centre,1,73-77,"42,35","28,45",13-11,13-9,6-7,9-4,02/18/17,3:00 PM,,"Sewanee, TN (Juhan Gymnasium)",Win,2,False,653,False,18:49,,0.0,,3.0,"FOUL  by BUESCHER,HUNTER",,,"FOUL  by BUESCHER,HUNTER",1,foul,,sewanee,"buescher,hunter",,"['griffin,jarod', 'sine,tucker', 'gump,matt', 'spitzer,jakob', 'rakes,bailey']","['williams,jorden', 'born,clay', 'stone,brody', 'buescher,hunter', 'born,leo']",1129.0,sewanee,3,0,0.0
7,7,1172,Sewanee,Centre,1,73-77,"42,35","28,45",13-11,13-9,6-7,9-4,02/18/17,3:00 PM,,"Sewanee, TN (Juhan Gymnasium)",Win,2,False,653,False,18:49,"GOOD FT by SINE,TUCKER",1.0,,3.0,,CENTRE 1-3 (+2),,"GOOD FT by SINE,TUCKER",1,free throw,good,centre,"sine,tucker",1.0,"['griffin,jarod', 'sine,tucker', 'gump,matt', 'spitzer,jakob', 'rakes,bailey']","['williams,jorden', 'born,clay', 'stone,brody', 'buescher,hunter', 'born,leo']",1129.0,centre,4,0,0.0
8,8,1172,Sewanee,Centre,1,73-77,"42,35","28,45",13-11,13-9,6-7,9-4,02/18/17,3:00 PM,,"Sewanee, TN (Juhan Gymnasium)",Win,2,False,653,False,18:49,"GOOD FT by SINE,TUCKER",2.0,,3.0,,CENTRE 2-3 (+1),,"GOOD FT by SINE,TUCKER",1,free throw,good,centre,"sine,tucker",1.0,"['griffin,jarod', 'sine,tucker', 'gump,matt', 'spitzer,jakob', 'rakes,bailey']","['williams,jorden', 'born,clay', 'stone,brody', 'buescher,hunter', 'born,leo']",1129.0,centre,4,0,0.0
9,9,1172,Sewanee,Centre,1,73-77,"42,35","28,45",13-11,13-9,6-7,9-4,02/18/17,3:00 PM,,"Sewanee, TN (Juhan Gymnasium)",Win,2,False,653,False,18:38,,2.0,,5.0,"GOOD JUMPER by WILLIAMS,JORDEN",SEWANEE 2-5 (+3),,"GOOD JUMPER by WILLIAMS,JORDEN",1,jumper,good,sewanee,"williams,jorden",2.0,"['griffin,jarod', 'sine,tucker', 'gump,matt', 'spitzer,jakob', 'rakes,bailey']","['williams,jorden', 'born,clay', 'stone,brody', 'buescher,hunter', 'born,leo']",1118.0,centre,4,0,0.0
