,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,1994,Berry,Hendrix,1,63-54,"34,20","26,37",5-12,8-8,1-5,4-2,01/20/17,8 p.m.,N/A,"Mount Berry, Ga. (Cage Center)",Lose,2,False,407,False,19:47,"TURNOVER  by LINK,JACOB",,,,,,,"TURNOVER  by LINK,JACOB",1,turnover,,hendrix,"link,jacob",,"['smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob', 'littlefield,gearen']","['mccloud,alton', 'clark,ethan', 'jones,blake', 'denbesten,cole', 'korn,lukas']",1187
1,1994,Berry,Hendrix,1,63-54,"34,20","26,37",5-12,8-8,1-5,4-2,01/20/17,8 p.m.,N/A,"Mount Berry, Ga. (Cage Center)",Lose,2,False,407,False,19:45,,,,,"STEAL  by KORN,LUKAS",,,"STEAL  by KORN,LUKAS",1,steal,,berry,,,"['smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob', 'littlefield,gearen']","['mccloud,alton', 'clark,ethan', 'jones,blake', 'denbesten,cole', 'korn,lukas']",1185
2,1994,Berry,Hendrix,1,63-54,"34,20","26,37",5-12,8-8,1-5,4-2,01/20/17,8 p.m.,N/A,"Mount Berry, Ga. (Cage Center)",Lose,2,False,407,False,19:37,,,,,"MISS JUMPER by JONES,BLAKE",,,"MISS JUMPER by JONES,BLAKE",1,jumper,missed,berry,"jones,blake",,"['smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob', 'littlefield,gearen']","['mccloud,alton', 'clark,ethan', 'jones,blake', 'denbesten,cole', 'korn,lukas']",1177
3,1994,Berry,Hendrix,1,63-54,"34,20","26,37",5-12,8-8,1-5,4-2,01/20/17,8 p.m.,N/A,"Mount Berry, Ga. (Cage Center)",Lose,2,False,407,False,--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1,defensive rebound,,hendrix,"aldous,hank",,"['smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob', 'littlefield,gearen']","['mccloud,alton', 'clark,ethan', 'jones,blake', 'denbesten,cole', 'korn,lukas']",
4,1994,Berry,Hendrix,1,63-54,"34,20","26,37",5-12,8-8,1-5,4-2,01/20/17,8 p.m.,N/A,"Mount Berry, Ga. (Cage Center)",Lose,2,False,407,False,19:21,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1,three pointer,missed,hendrix,"smith,preston",,"['smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob', 'littlefield,gearen']","['mccloud,alton', 'clark,ethan', 'jones,blake', 'denbesten,cole', 'korn,lukas']",1161
5,1994,Berry,Hendrix,1,63-54,"34,20","26,37",5-12,8-8,1-5,4-2,01/20/17,8 p.m.,N/A,"Mount Berry, Ga. (Cage Center)",Lose,2,False,407,False,--,"REBOUND OFF by LINK,JACOB",,,,,,,"REBOUND OFF by LINK,JACOB",1,offensive rebound,,hendrix,"link,jacob",,"['smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob', 'littlefield,gearen']","['mccloud,alton', 'clark,ethan', 'jones,blake', 'denbesten,cole', 'korn,lukas']",
6,1994,Berry,Hendrix,1,63-54,"34,20","26,37",5-12,8-8,1-5,4-2,01/20/17,8 p.m.,N/A,"Mount Berry, Ga. (Cage Center)",Lose,2,False,407,False,19:17,"GOOD LAYUP by LINK,JACOB(in the paint)",2 ,,0,,HENDRIX 2-0 (+2),,"GOOD LAYUP by LINK,JACOB(in the paint)",1,layup,good,hendrix,"link,jacob",2,"['smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob', 'littlefield,gearen']","['mccloud,alton', 'clark,ethan', 'jones,blake', 'denbesten,cole', 'korn,lukas']",1157
7,1994,Berry,Hendrix,1,63-54,"34,20","26,37",5-12,8-8,1-5,4-2,01/20/17,8 p.m.,N/A,"Mount Berry, Ga. (Cage Center)",Lose,2,False,407,False,18:53,,2 ,,0,"MISS LAYUP by KORN,LUKAS",,,"MISS LAYUP by KORN,LUKAS",1,layup,missed,berry,"korn,lukas",,"['smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob', 'littlefield,gearen']","['mccloud,alton', 'clark,ethan', 'jones,blake', 'denbesten,cole', 'korn,lukas']",1133
8,1994,Berry,Hendrix,1,63-54,"34,20","26,37",5-12,8-8,1-5,4-2,01/20/17,8 p.m.,N/A,"Mount Berry, Ga. (Cage Center)",Lose,2,False,407,False,--,,2 ,,0,"REBOUND OFF by KORN,LUKAS",,,"REBOUND OFF by KORN,LUKAS",1,offensive rebound,,berry,"korn,lukas",,"['smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob', 'littlefield,gearen']","['mccloud,alton', 'clark,ethan', 'jones,blake', 'denbesten,cole', 'korn,lukas']",
9,1994,Berry,Hendrix,1,63-54,"34,20","26,37",5-12,8-8,1-5,4-2,01/20/17,8 p.m.,N/A,"Mount Berry, Ga. (Cage Center)",Lose,2,False,407,False,18:50,,2,,2,"GOOD LAYUP by KORN,LUKAS(in the paint)",BCM 2-2 (0),,"GOOD LAYUP by KORN,LUKAS(in the paint)",1,layup,good,berry,"korn,lukas",2,"['smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob', 'littlefield,gearen']","['mccloud,alton', 'clark,ethan', 'jones,blake', 'denbesten,cole', 'korn,lukas']",1130
10,1994,Berry,Hendrix,1,63-54,"34,20","26,37",5-12,8-8,1-5,4-2,01/20/17,8 p.m.,N/A,"Mount Berry, Ga. (Cage Center)",Lose,2,False,407,False,18:21,"MISS JUMPER by LINK,JACOB",2,,2,,,,"MISS JUMPER by LINK,JACOB",1,jumper,missed,hendrix,"link,jacob",,"['smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob', 'littlefield,gearen']","['mccloud,alton', 'clark,ethan', 'jones,blake', 'denbesten,cole', 'korn,lukas']",1101
11,1994,Berry,Hendrix,1,63-54,"34,20","26,37",5-12,8-8,1-5,4-2,01/20/17,8 p.m.,N/A,"Mount Berry, Ga. (Cage Center)",Lose,2,False,407,False,--,,2,,2,"REBOUND DEF by CLARK,ETHAN",,,"REBOUND DEF by CLARK,ETHAN",1,defensive rebound,,berry,"clark,ethan",,"['smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob', 'littlefield,gearen']","['mccloud,alton', 'clark,ethan', 'jones,blake', 'denbesten,cole', 'korn,lukas']",
12,1994,Berry,Hendrix,1,63-54,"34,20","26,37",5-12,8-8,1-5,4-2,01/20/17,8 p.m.,N/A,"Mount Berry, Ga. (Cage Center)",Lose,2,False,407,False,18:15,,2,,2,"MISS LAYUP by DENBESTEN,COLE",,,"MISS LAYUP by DENBESTEN,COLE",1,layup,missed,berry,"denbesten,cole",,"['smith,preston', 'aldous,hank', 'garrett,travis', 'link,jacob', 'littlefield,gearen']","['mccloud,alton', 'clark,ethan', 'jones,blake', 'denbesten,cole', 'korn,lukas']",1095
