,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,1991,Hendrix,Birmingham-Southern,1,53-79,"36,43","27,26",5-8,5-8,1-2,1-2,01/08/17,3 p.m.,N/A,"Conway, Ark. (Grove Gymnasium)",Win,2,False,193,False,19:46,"TURNOVER  by DENEKA,HARRISON",,,,,,,"TURNOVER  by DENEKA,HARRISON",1,turnover,,birmingham-southern,"deneka,harrison",,"['thom,ian', 'lewis,evan', 'rudak,matty', 'deneka,harrison', 'mclean,james']","['aldous,hank', 'smith,preston', 'littlefield,gearen', 'garrett,travis', 'link,jacob']",1186
1,1991,Hendrix,Birmingham-Southern,1,53-79,"36,43","27,26",5-8,5-8,1-2,1-2,01/08/17,3 p.m.,N/A,"Conway, Ark. (Grove Gymnasium)",Win,2,False,193,False,19:18,,,,,"MISS 3PTR by ALDOUS,HANK",,,"MISS 3PTR by ALDOUS,HANK",1,three pointer,missed,hendrix,"aldous,hank",,"['thom,ian', 'lewis,evan', 'rudak,matty', 'deneka,harrison', 'mclean,james']","['aldous,hank', 'smith,preston', 'littlefield,gearen', 'garrett,travis', 'link,jacob']",1158
2,1991,Hendrix,Birmingham-Southern,1,53-79,"36,43","27,26",5-8,5-8,1-2,1-2,01/08/17,3 p.m.,N/A,"Conway, Ark. (Grove Gymnasium)",Win,2,False,193,False,--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1,deadball rebound,,birmingham-southern,,,"['thom,ian', 'lewis,evan', 'rudak,matty', 'deneka,harrison', 'mclean,james']","['aldous,hank', 'smith,preston', 'littlefield,gearen', 'garrett,travis', 'link,jacob']",
3,1991,Hendrix,Birmingham-Southern,1,53-79,"36,43","27,26",5-8,5-8,1-2,1-2,01/08/17,3 p.m.,N/A,"Conway, Ark. (Grove Gymnasium)",Win,2,False,193,False,19:04,"TURNOVER  by MCLEAN,JAMES",,,,,,,"TURNOVER  by MCLEAN,JAMES",1,turnover,,birmingham-southern,"mclean,james",,"['thom,ian', 'lewis,evan', 'rudak,matty', 'deneka,harrison', 'mclean,james']","['aldous,hank', 'smith,preston', 'littlefield,gearen', 'garrett,travis', 'link,jacob']",1144
4,1991,Hendrix,Birmingham-Southern,1,53-79,"36,43","27,26",5-8,5-8,1-2,1-2,01/08/17,3 p.m.,N/A,"Conway, Ark. (Grove Gymnasium)",Win,2,False,193,False,19:04,,,,,"STEAL  by GARRETT,TRAVIS",,,"STEAL  by GARRETT,TRAVIS",1,steal,,hendrix,,,"['thom,ian', 'lewis,evan', 'rudak,matty', 'deneka,harrison', 'mclean,james']","['aldous,hank', 'smith,preston', 'littlefield,gearen', 'garrett,travis', 'link,jacob']",1144
5,1991,Hendrix,Birmingham-Southern,1,53-79,"36,43","27,26",5-8,5-8,1-2,1-2,01/08/17,3 p.m.,N/A,"Conway, Ark. (Grove Gymnasium)",Win,2,False,193,False,19:04,"FOUL  by MCLEAN,JAMES",,,,,,,"FOUL  by MCLEAN,JAMES",1,foul,,birmingham-southern,"mclean,james",,"['thom,ian', 'lewis,evan', 'rudak,matty', 'deneka,harrison', 'mclean,james']","['aldous,hank', 'smith,preston', 'littlefield,gearen', 'garrett,travis', 'link,jacob']",1144
6,1991,Hendrix,Birmingham-Southern,1,53-79,"36,43","27,26",5-8,5-8,1-2,1-2,01/08/17,3 p.m.,N/A,"Conway, Ark. (Grove Gymnasium)",Win,2,False,193,False,18:53,,0,,3 ,"GOOD 3PTR by GARRETT,TRAVIS(fastbreak)",HENDRIX 0-3 (+3),,"GOOD 3PTR by GARRETT,TRAVIS(fastbreak)",1,three pointer,good,hendrix,"garrett,travis(fastbreak)",3,"['thom,ian', 'lewis,evan', 'rudak,matty', 'deneka,harrison', 'mclean,james']","['aldous,hank', 'smith,preston', 'littlefield,gearen', 'garrett,travis', 'link,jacob']",1133
7,1991,Hendrix,Birmingham-Southern,1,53-79,"36,43","27,26",5-8,5-8,1-2,1-2,01/08/17,3 p.m.,N/A,"Conway, Ark. (Grove Gymnasium)",Win,2,False,193,False,--,,0,,3 ,"ASSIST  by ALDOUS,HANK",,,"ASSIST  by ALDOUS,HANK",1,assist,,hendrix,"aldous,hank",,"['thom,ian', 'lewis,evan', 'rudak,matty', 'deneka,harrison', 'mclean,james']","['aldous,hank', 'smith,preston', 'littlefield,gearen', 'garrett,travis', 'link,jacob']",
8,1991,Hendrix,Birmingham-Southern,1,53-79,"36,43","27,26",5-8,5-8,1-2,1-2,01/08/17,3 p.m.,N/A,"Conway, Ark. (Grove Gymnasium)",Win,2,False,193,False,18:24,"MISS 3PTR by DENEKA,HARRISON",0,,3 ,,,,"MISS 3PTR by DENEKA,HARRISON",1,three pointer,missed,birmingham-southern,"deneka,harrison",,"['thom,ian', 'lewis,evan', 'rudak,matty', 'deneka,harrison', 'mclean,james']","['aldous,hank', 'smith,preston', 'littlefield,gearen', 'garrett,travis', 'link,jacob']",1104
9,1991,Hendrix,Birmingham-Southern,1,53-79,"36,43","27,26",5-8,5-8,1-2,1-2,01/08/17,3 p.m.,N/A,"Conway, Ark. (Grove Gymnasium)",Win,2,False,193,False,--,,0,,3 ,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1,defensive rebound,,hendrix,"smith,preston",,"['thom,ian', 'lewis,evan', 'rudak,matty', 'deneka,harrison', 'mclean,james']","['aldous,hank', 'smith,preston', 'littlefield,gearen', 'garrett,travis', 'link,jacob']",
