,gameID,homeTeam,awayTeam,saaGame,finalScore,homeScoreByPeriod,awayScoreByPeriod,homeRecord,awayRecord,homeConfRecord,awayConfRecord,gameDate,startTime,gameLength,gameLocation,homeWin,numPeriods,isOvertime,attendance,isNeutral,timeRemaining,awayPlay,awayTeamScore,playTeamIndicator,homeTeamScore,homePlay,gameScore,teamIndicator,Play,Period,playType,shotOutcome,Team,Player,pointsEarned,awayLineup,homeLineup,timeSeconds
0,1188,Boyce,Sewanee,0,83-63,"29,34","50,33",0-14,7-6,N/A,N/A,01/09/18,5 p.m.,N/A,"Louisville, Ky.",Lose,2,False,50,False,19:45,,,,,"MISS 3PTR by MCKAY,DREW",,,"MISS 3PTR by MCKAY,DREW",1,three pointer,missed,boyce,"mckay,drew",,"['thomas,adrian', 'smith,luke', 'buescher,hunter', 'lee,matt', 'caldwell,cam']","['mckay,drew', 'rabke,adam', 'turner,nickolas', 'minnick-tucker,d.', 'white,spencer']",1185
1,1188,Boyce,Sewanee,0,83-63,"29,34","50,33",0-14,7-6,N/A,N/A,01/09/18,5 p.m.,N/A,"Louisville, Ky.",Lose,2,False,50,False,--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1,defensive rebound,,sewanee,"thomas,adrian",,"['thomas,adrian', 'smith,luke', 'buescher,hunter', 'lee,matt', 'caldwell,cam']","['mckay,drew', 'rabke,adam', 'turner,nickolas', 'minnick-tucker,d.', 'white,spencer']",
2,1188,Boyce,Sewanee,0,83-63,"29,34","50,33",0-14,7-6,N/A,N/A,01/09/18,5 p.m.,N/A,"Louisville, Ky.",Lose,2,False,50,False,19:31,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",1,turnover,,sewanee,"thomas,adrian",,"['thomas,adrian', 'smith,luke', 'buescher,hunter', 'lee,matt', 'caldwell,cam']","['mckay,drew', 'rabke,adam', 'turner,nickolas', 'minnick-tucker,d.', 'white,spencer']",1171
3,1188,Boyce,Sewanee,0,83-63,"29,34","50,33",0-14,7-6,N/A,N/A,01/09/18,5 p.m.,N/A,"Louisville, Ky.",Lose,2,False,50,False,19:31,,,,,"STEAL  by MCKAY,DREW",,,"STEAL  by MCKAY,DREW",1,steal,,boyce,,,"['thomas,adrian', 'smith,luke', 'buescher,hunter', 'lee,matt', 'caldwell,cam']","['mckay,drew', 'rabke,adam', 'turner,nickolas', 'minnick-tucker,d.', 'white,spencer']",1171
4,1188,Boyce,Sewanee,0,83-63,"29,34","50,33",0-14,7-6,N/A,N/A,01/09/18,5 p.m.,N/A,"Louisville, Ky.",Lose,2,False,50,False,19:07,,,,,"MISS JUMPER by RABKE,ADAM",,,"MISS JUMPER by RABKE,ADAM",1,jumper,missed,boyce,"rabke,adam",,"['thomas,adrian', 'smith,luke', 'buescher,hunter', 'lee,matt', 'caldwell,cam']","['mckay,drew', 'rabke,adam', 'turner,nickolas', 'minnick-tucker,d.', 'white,spencer']",1147
5,1188,Boyce,Sewanee,0,83-63,"29,34","50,33",0-14,7-6,N/A,N/A,01/09/18,5 p.m.,N/A,"Louisville, Ky.",Lose,2,False,50,False,--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1,defensive rebound,,sewanee,"thomas,adrian",,"['thomas,adrian', 'smith,luke', 'buescher,hunter', 'lee,matt', 'caldwell,cam']","['mckay,drew', 'rabke,adam', 'turner,nickolas', 'minnick-tucker,d.', 'white,spencer']",
6,1188,Boyce,Sewanee,0,83-63,"29,34","50,33",0-14,7-6,N/A,N/A,01/09/18,5 p.m.,N/A,"Louisville, Ky.",Lose,2,False,50,False,18:50,"GOOD 3PTR by SMITH,LUKE",3 ,,0,,SEWANEE 3-0 (+3),,"GOOD 3PTR by SMITH,LUKE",1,three pointer,good,sewanee,"smith,luke",3,"['thomas,adrian', 'smith,luke', 'buescher,hunter', 'lee,matt', 'caldwell,cam']","['mckay,drew', 'rabke,adam', 'turner,nickolas', 'minnick-tucker,d.', 'white,spencer']",1130
7,1188,Boyce,Sewanee,0,83-63,"29,34","50,33",0-14,7-6,N/A,N/A,01/09/18,5 p.m.,N/A,"Louisville, Ky.",Lose,2,False,50,False,--,"ASSIST  by BUESCHER,HUNTER",3 ,,0,,,,"ASSIST  by BUESCHER,HUNTER",1,assist,,sewanee,"buescher,hunter",,"['thomas,adrian', 'smith,luke', 'buescher,hunter', 'lee,matt', 'caldwell,cam']","['mckay,drew', 'rabke,adam', 'turner,nickolas', 'minnick-tucker,d.', 'white,spencer']",
8,1188,Boyce,Sewanee,0,83-63,"29,34","50,33",0-14,7-6,N/A,N/A,01/09/18,5 p.m.,N/A,"Louisville, Ky.",Lose,2,False,50,False,18:49,,3 ,,0,"FOUL  by MINNICK-TUCKER,D",,,"FOUL  by MINNICK-TUCKER,D",1,foul,,boyce,"minnick-tucker,d",,"['thomas,adrian', 'smith,luke', 'buescher,hunter', 'lee,matt', 'caldwell,cam']","['mckay,drew', 'rabke,adam', 'turner,nickolas', 'minnick-tucker,d.', 'white,spencer']",1129
9,1188,Boyce,Sewanee,0,83-63,"29,34","50,33",0-14,7-6,N/A,N/A,01/09/18,5 p.m.,N/A,"Louisville, Ky.",Lose,2,False,50,False,18:49,"GOOD FT by SMITH,LUKE",4 ,,0,,SEWANEE 4-0 (+4),,"GOOD FT by SMITH,LUKE",1,free throw,good,sewanee,"smith,luke",1,"['thomas,adrian', 'smith,luke', 'buescher,hunter', 'lee,matt', 'caldwell,cam']","['mckay,drew', 'rabke,adam', 'turner,nickolas', 'minnick-tucker,d.', 'white,spencer']",1129
10,1188,Boyce,Sewanee,0,83-63,"29,34","50,33",0-14,7-6,N/A,N/A,01/09/18,5 p.m.,N/A,"Louisville, Ky.",Lose,2,False,50,False,18:34,,4 ,,0,"TURNOVER  by RABKE,ADAM",,,"TURNOVER  by RABKE,ADAM",1,turnover,,boyce,"rabke,adam",,"['thomas,adrian', 'smith,luke', 'buescher,hunter', 'lee,matt', 'caldwell,cam']","['mckay,drew', 'rabke,adam', 'turner,nickolas', 'minnick-tucker,d.', 'white,spencer']",1114
11,1188,Boyce,Sewanee,0,83-63,"29,34","50,33",0-14,7-6,N/A,N/A,01/09/18,5 p.m.,N/A,"Louisville, Ky.",Lose,2,False,50,False,18:34,,4 ,,0,"FOUL  by RABKE,ADAM",,,"FOUL  by RABKE,ADAM",1,foul,,boyce,"rabke,adam",,"['thomas,adrian', 'smith,luke', 'buescher,hunter', 'lee,matt', 'caldwell,cam']","['mckay,drew', 'rabke,adam', 'turner,nickolas', 'minnick-tucker,d.', 'white,spencer']",1114
12,1188,Boyce,Sewanee,0,83-63,"29,34","50,33",0-14,7-6,N/A,N/A,01/09/18,5 p.m.,N/A,"Louisville, Ky.",Lose,2,False,50,False,18:22,"GOOD 3PTR by SMITH,LUKE",7 ,,0,,SEWANEE 7-0 (+7),,"GOOD 3PTR by SMITH,LUKE",1,three pointer,good,sewanee,"smith,luke",3,"['thomas,adrian', 'smith,luke', 'buescher,hunter', 'lee,matt', 'caldwell,cam']","['mckay,drew', 'rabke,adam', 'turner,nickolas', 'minnick-tucker,d.', 'white,spencer']",1102
